database_identifier,Succinic acid,group_type
C00005,0.4003951646976061,Control
C00009,0.2019512473309589,Control
C00013,-0.0264606011122616,Control
C00016,0.4877223070277294,Control
C00020,0.7051775580061173,Control
C00021,0.2696615479657474,Control
C00022,0.1116248008357348,Control
C00023,0.5437034770851435,Control
C00024,0.56535962564769,Control
C00032,0.1434451923067809,Control
C00039,0.5652611327989908,Control
C00041,0.6421940687330131,Control
C00045,-0.0273722509081846,Control
C00052,0.088580920094968,Control
C00053,0.6418590227964421,Control
C00054,0.1663466074038347,Control
C00057,0.2519674384263285,Control
C00058,0.0804066241087454,Control
C00059,0.5673673592701307,Control
C00061,0.0675753939665473,Control
C00062,-0.0928442723061111,Control
C00063,0.0366824060231963,Control
C00066,-0.3986763674617529,Control
C00067,0.1635420595112227,Control
C00068,0.1583558071496563,Control
C00069,0.2914562436815324,Control
C00070,0.1277069956469115,Control
C00072,0.2501930065611837,Control
C00073,0.2787327827880915,Control
C00074,0.4603234399336309,Control
C00075,0.2028533505258306,Control
C00079,-0.0464687860561888,Control
C00080,-0.0931946395935763,Control
C00082,0.4897837106148416,Control
C00083,0.2475587048901237,Control
C00084,-0.0241539894418244,Control
C00085,0.887763672861513,Control
C00089,-0.0838418878958328,Control
C00092,0.5411953394967834,Control
C00094,0.4495228921815268,Control
C00098,-0.2769298004920865,Control
C00105,-0.0500627604696633,Control
C00108,0.0139759528843004,Control
C00110,0.1442408298493173,Control
C00113,-0.098039718255925,Control
C00115,0.1839471103186519,Control
C00116,0.1019676004006485,Control
C00118,0.7940766257174933,Control
C00120,-0.1142131618292233,Control
C00121,0.303363197507954,Control
C00122,0.1952171238599449,Control
C00123,0.1628332130389128,Control
C00125,0.2401713093510522,Control
C00126,0.2447842606648031,Control
C00132,-0.373503084944139,Control
C00133,0.2730401720109629,Control
C00134,0.0934190267178936,Control
C00135,0.1734001541978458,Control
C00139,0.1685908373729618,Control
C00140,-0.1858367297619524,Control
C00143,-0.2437005320766068,Control
C00144,0.3613049381932612,Control
C00147,0.6528648849244902,Control
C00148,0.4816984421391246,Control
C00149,0.3074524803288051,Control
C00150,-0.08703755847103,Control
