database_identifier,Hemostasis,Neurotransmitter release cycle,Transmission across Chemical Synapses,Neuronal System,Metabolism,Synthesis of PC,Glycerophospholipid biosynthesis,Phospholipid metabolism,Phase II - Conjugation of compounds,Signal Transduction,Triglyceride catabolism,Integration of energy metabolism,Disease,Immune System,Cholesterol biosynthesis,Digestion of dietary lipid,Metabolism of vitamins and cofactors,Biological oxidations,Cytochrome P450 - arranged by substrate type,Phase I - Functionalization of compounds,Visual phototransduction,Peptide hormone metabolism,Hydroxycarboxylic acid-binding receptors,Signaling by GPCR,Class A/1 (Rhodopsin-like receptors),Olfactory Signaling Pathway,"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)",Transport of small molecules,GPCR downstream signalling,Metabolism of proteins,Free fatty acids regulate insulin secretion,"Incretin synthesis, secretion, and inactivation","Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)",G alpha (q) signalling events,G alpha (i) signalling events,Regulation of insulin secretion,"Transport of bile salts and organic acids, metal ions and amine compounds","Transport of vitamins, nucleosides, and related molecules",SLC-mediated transmembrane transport,Passive transport by Aquaporins,Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion,Free fatty acid receptors,Aquaporin-mediated transport,GPCR ligand binding,Organic cation/anion/zwitterion transport,Metabolism of lipids,SLC transporter disorders,Defective SLC27A4 causes ichthyosis prematurity syndrome (IPS),Disorders of transmembrane transporters,Metabolism of fat-soluble vitamins,Metabolism of amino acids and derivatives,Metabolism of carbohydrates,Transport of fatty acids,Digestion,Metabolism of steroids,Digestion and absorption,Triglyceride metabolism,Sensory Perception,Sensory perception of taste,"Sensory perception of sweet, bitter, and umami (glutamate) taste",Retinoid metabolism and transport,group_type
4,0.36965116098267065,0.1868801205187741,0.1868801205187741,0.1868801205187741,0.17707283500302065,-0.5553251872413313,-0.024651028474087504,-0.024651028474087504,0.0946446490859203,0.22954068236865222,0.36965116098267065,-0.636639756204018,0.24715890927933326,-0.2415458568339469,-0.2415458568339469,0.36965116098267065,0.12654078567954571,-0.18190704439150426,-0.33513753151633874,-0.33513753151633874,0.6371087936641983,-0.5320749259209117,0.29901949698866986,0.20644467473312442,0.23971421680102287,-0.5952075935309714,0.5693618692631541,0.1440817377878243,0.20644467473312442,-0.5320749259209117,-0.636639756204018,0.5693618692631541,-0.636639756204018,-0.5246301105340233,0.21134616934634856,-0.636639756204018,-0.5037110586984433,0.6231932171527063,0.12364028419445904,-0.37829964846057496,-0.636639756204018,0.5693618692631541,-0.37829964846057496,0.22380295490519436,0.6959293381789761,-0.12344934587532432,0.33322917451364925,0.6780287324367045,0.33437849418199117,0.6371087936641983,-0.4281893076832885,-0.297341090057801,0.6780287324367045,0.36965116098267065,-0.2415458568339469,0.36965116098267065,0.36965116098267065,0.1498785540777228,-0.30519330436346676,-0.30519330436346676,0.6371087936641983,Case
9,-0.39598679830404443,-0.5575515395779653,-0.5575515395779653,-0.5575515395779653,-0.22665648185072093,-0.11998989084449879,-0.351934897876953,-0.351934897876953,-0.1435838160777181,-0.48079006895861454,-0.39598679830404443,0.5828909135008444,0.0976453587754117,-0.5164414172414331,-0.5164414172414331,-0.39598679830404443,-0.515132166652087,-0.05232784335885484,0.09924342761662594,0.09924342761662594,-0.6017036038353145,0.43704988388923044,0.6143654748780221,-0.49476403643073963,-0.44806470086154754,-0.46997281829389836,-0.47864449615751975,0.17251595168285522,-0.49476403643073963,0.43704988388923044,0.5828909135008444,-0.47864449615751975,0.5828909135008444,0.46437525275778346,0.6673366971648902,0.5828909135008444,-0.36526549892394133,0.17115344761992213,0.19935733815181444,-0.3774298261439461,0.5828909135008444,-0.47864449615751975,-0.3774298261439461,-0.47894019395481846,0.6404816041425319,-0.3746663677447009,-0.40664021998148864,-0.49349608758703734,-0.41050730466704705,-0.6017036038353145,-0.3415011889431712,0.06703712700162162,-0.49349608758703734,-0.39598679830404443,-0.5164414172414331,-0.39598679830404443,-0.39598679830404443,0.5967366481359652,-0.3797031468736336,-0.3797031468736336,-0.6017036038353145,Case
12,0.6615650582316417,-0.07102217430557099,-0.07102217430557099,-0.07102217430557099,-0.3031778504296743,0.09678703630897087,0.21492587738854174,0.21492587738854174,0.08924590960447398,0.05733019542291592,0.6615650582316417,-0.0181782984724922,0.008836248153616439,-0.04872276392774347,-0.04872276392774347,0.6615650582316417,0.31519597319395537,0.129068931152741,0.3545493940737759,0.3545493940737759,0.6023999306048534,0.08378311229385958,0.37599351456234587,0.02201594779598704,-0.04609672533119605,-0.3685965911665561,0.002774092613532656,-0.014699926220578707,0.02201594779598704,0.08378311229385958,-0.0181782984724922,0.002774092613532656,-0.0181782984724922,-0.02251163693587037,0.31984811091548376,-0.0181782984724922,-0.5577095540679421,0.07361770668538081,-0.17859759060794436,-0.04986744297255507,-0.0181782984724922,0.002774092613532656,-0.04986744297255507,-0.0740642111437701,0.49592602101031885,0.2770315003853541,-0.00018838300569205867,0.11972132714917262,0.0626391275960396,0.6023999306048534,-0.48913448950469496,-0.4737761399615911,0.11972132714917262,0.6615650582316417,-0.04872276392774347,0.6615650582316417,0.6615650582316417,0.0715774794129149,-0.6243104465021375,-0.6243104465021375,0.6023999306048534,Case
14,0.3961755920840747,0.03798168443309223,0.03798168443309223,0.03798168443309223,-0.3328322314570006,-0.4018313800953238,0.012345269227600951,0.012345269227600951,0.3591514620359611,0.1503084365932444,0.3961755920840747,6.749964625006061e-05,-0.002089059068001185,-0.22978451960714005,-0.22978451960714005,0.3961755920840747,-0.5930773287186655,0.21189171751431013,0.05357486732818632,0.05357486732818632,-0.6385611590305774,-0.047737390371082586,0.4035488748219578,0.16991507993495425,0.09249940545406446,0.08486874757173742,0.1144682920184291,0.08331421876886275,0.16991507993495425,-0.047737390371082586,6.749964625006061e-05,0.1144682920184291,6.749964625006061e-05,-0.09679567623818473,-0.061653023385461164,6.749964625006061e-05,-0.15264165895575854,0.11365807063310959,0.11159133783855549,0.28049883185463964,6.749964625006061e-05,0.1144682920184291,0.28049883185463964,0.16229423001916887,0.5476456397377504,0.09126059495629485,0.1202504029636485,0.17108718386773467,0.08984809757972165,-0.6385611590305774,-0.01102528408780626,0.006801659911234053,0.17108718386773467,0.3961755920840747,-0.22978451960714005,0.3961755920840747,0.3961755920840747,-0.028792225422375913,0.020085468256126192,0.020085468256126192,-0.6385611590305774,Case
20,-0.3045443663457151,-0.5799471943102549,-0.5799471943102549,-0.5799471943102549,-0.0925504891218168,-0.467511835792329,-0.20770572026021009,-0.20770572026021009,-0.3743331230461618,-0.19128730953709897,-0.3045443663457151,0.6619239119718151,-0.1529615136866331,-0.4941472519933177,-0.4941472519933177,-0.3045443663457151,-0.5161158877137113,0.03360946962261689,0.39412307772823174,0.39412307772823174,-0.5901672998989707,0.6158392519251235,-0.4639384532029761,-0.160641507381881,-0.17277304440944036,-0.23869804716168994,-0.5860807928674547,0.017138108881413493,-0.160641507381881,0.6158392519251235,0.6619239119718151,-0.5860807928674547,0.6619239119718151,0.582168318976349,-0.4734399527420515,0.6619239119718151,0.5018102066636044,0.022429615378126815,0.07199644046436063,0.3889566679700733,0.6619239119718151,-0.5860807928674547,0.3889566679700733,-0.18353643074874662,-0.22893090284590922,-0.28206494931731035,-0.44990932862895805,-0.46205193642851816,-0.4484001541550681,-0.5901672998989707,0.5708026826115125,-0.19925048753305039,-0.46205193642851816,-0.3045443663457151,-0.4941472519933177,-0.3045443663457151,-0.3045443663457151,0.4640148432986883,-0.44091478851669225,-0.44091478851669225,-0.5901672998989707,Case
24,-0.07439225607606112,-0.6088711516009085,-0.6088711516009085,-0.6088711516009085,-0.07265089353032045,-0.6176526995572222,-0.16413588769069326,-0.16413588769069326,-0.21237076350915104,-0.1180805004177295,-0.07439225607606112,0.6130269912006807,-0.17921785378901425,-0.4156085496713432,-0.4156085496713432,-0.07439225607606112,-0.36641098879675643,0.01613370657578546,0.333994811750023,0.333994811750023,-0.6424814898083545,0.5751438190910516,-0.5254810798359294,-0.08805728538136431,-0.09712293357761552,-0.12604509585338722,-0.5414056320423805,-0.07615116853634357,-0.08805728538136431,0.5751438190910516,0.6130269912006807,-0.5414056320423805,0.6130269912006807,0.5513242355505694,-0.5582528063686074,0.6130269912006807,0.10863735568622289,-0.047064103368264124,-0.01994535790230944,-0.0713374628798898,0.6130269912006807,-0.5414056320423805,-0.0713374628798898,-0.11093407417976342,-0.27176064289747404,-0.10369939515532856,-0.40271785232007457,-0.5467690287661244,-0.41297165621670634,-0.6424814898083545,-0.08698296369763464,-0.3969028894392668,-0.5467690287661244,-0.07439225607606112,-0.4156085496713432,-0.07439225607606112,-0.07439225607606112,0.3707315944472735,-0.562335347794395,-0.562335347794395,-0.6424814898083545,Case
26,0.7215117690937192,-0.5942915273333703,-0.5942915273333703,-0.5942915273333703,-0.239377573936283,0.21314028466445217,0.402619454592354,0.402619454592354,-0.3793694513322975,-0.29148407594025966,0.7215117690937192,0.6374291998936863,-0.4747247842899826,-0.3133884431116122,-0.3133884431116122,0.7215117690937192,-0.47363195336324293,-0.06169777319629764,0.43282440912748055,0.43282440912748055,-0.5824875134015929,0.5681992750769095,0.2536277611265295,-0.2879018003375014,-0.42220535802632997,0.03856580170597918,-0.5117668556311015,-0.005983852910703959,-0.2879018003375014,0.5681992750769095,0.6374291998936863,-0.5117668556311015,0.6374291998936863,0.40238083590909574,0.22337460731038625,0.6374291998936863,0.6119079504026034,-0.4403621025679471,-0.0699465447920659,0.7716757513825587,0.6374291998936863,-0.5117668556311015,0.7716757513825587,-0.44298146368126873,-0.22690754832341492,0.5166211191519583,-0.5011860165605815,-0.4926034879644898,-0.4924116127315143,-0.5824875134015929,0.7065672241754907,-0.38523081462652375,-0.4926034879644898,0.7215117690937192,-0.3133884431116122,0.7215117690937192,0.7215117690937192,0.35029057901184407,-0.3628478208326101,-0.3628478208326101,-0.5824875134015929,Case
27,0.6922928878585681,-0.3298621446002761,-0.3298621446002761,-0.3298621446002761,-0.4064341884938799,0.345211868436921,0.5985842270782213,0.5985842270782213,-0.2706958456659864,-0.047976042692785895,0.6922928878585681,0.32656487052421274,-0.33077386195361286,-0.45008813905826744,-0.45008813905826744,0.6922928878585681,-0.5097600427914821,0.39920213384518877,0.6434147352665932,0.6434147352665932,-0.6181478443816466,0.3570596318637782,-0.36177031464814285,-0.024685538177699244,-0.07684295931795836,0.3772379674285703,-0.24966606234016966,0.14567597811941183,-0.024685538177699244,0.3570596318637782,0.32656487052421274,-0.24966606234016966,0.32656487052421274,0.20007189359523547,-0.3493090727469313,0.32656487052421274,0.4919587020144282,-0.2500006967969121,0.11736940535565302,0.7715818709908006,0.32656487052421274,-0.24966606234016966,0.7715818709908006,-0.11140796913968232,-0.21728522489399973,0.18461401889397175,-0.28760205564061686,-0.23671725870202148,-0.3091635587039619,-0.6181478443816466,0.5721407672109472,-0.4030751962765098,-0.23671725870202148,0.6922928878585681,-0.45008813905826744,0.6922928878585681,0.6922928878585681,-0.08396580417322737,-0.4660332083402834,-0.4660332083402834,-0.6181478443816466,Case
31,0.31950017553318955,-0.5084991224090287,-0.5084991224090287,-0.5084991224090287,-0.33621889252369147,0.39132326313141425,0.5387683905088417,0.5387683905088417,-0.1579173221915673,-0.13085371325354767,0.31950017553318955,0.42913304389276824,-0.20320252675875336,-0.39515407391398044,-0.39515407391398044,0.31950017553318955,-0.5288351366178037,0.24504045221773474,0.4244070762830841,0.4244070762830841,-0.4458591673253023,0.42478996053166396,0.44982785392979974,-0.13341325295721726,-0.27805867462245076,-0.17140263902352693,-0.3232186280397826,0.07386102006361116,-0.13341325295721726,0.42478996053166396,0.42913304389276824,-0.3232186280397826,0.42913304389276824,0.182846894352793,0.41422127590234165,0.42913304389276824,0.4120219320419787,-0.199436435117368,0.015666541335197695,0.6825945419446238,0.42913304389276824,-0.3232186280397826,0.6825945419446238,-0.3194294398786241,0.09498862284393658,0.45445768778521806,-0.38584912217059436,-0.35550792805815784,-0.34526975435267515,-0.4458591673253023,0.7210571843372594,-0.290214924376122,-0.35550792805815784,0.31950017553318955,-0.39515407391398044,0.31950017553318955,0.31950017553318955,0.4558775390793321,-0.6079454273353901,-0.6079454273353901,-0.4458591673253023,Case
34,0.6130954896356279,-0.4612704585111491,-0.4612704585111491,-0.4612704585111491,-0.24111726110616516,0.10727919014244107,0.25217496273946466,0.25217496273946466,-0.553076622576126,-0.16211828778279302,0.6130954896356279,0.1336292349935529,-0.33431525887570535,-0.4166361554800586,-0.4166361554800586,0.6130954896356279,-0.1448117409345893,-0.16395102036340622,0.41044466962229126,0.41044466962229126,0.003949223727457442,0.30727136960133006,0.5122955286351198,-0.15630650309037641,-0.33228150250297106,0.5493372364326998,-0.3085823998061148,-0.060858235224122835,-0.15630650309037641,0.30727136960133006,0.1336292349935529,-0.3085823998061148,0.1336292349935529,0.1854165316846371,0.47570130000634236,0.1336292349935529,0.02202157217929496,-0.3450360372543652,-0.2424898916046339,0.20913631241775554,0.1336292349935529,-0.3085823998061148,0.20913631241775554,-0.346031205165026,-0.08640471298234903,0.36917104251980576,-0.37323113315130235,-0.34219096054229436,-0.3658463249875106,0.003949223727457442,0.11485864793637385,-0.38302438708736997,-0.34219096054229436,0.6130954896356279,-0.4166361554800586,0.6130954896356279,0.6130954896356279,-0.2815415351292297,0.37866129341383215,0.37866129341383215,0.003949223727457442,Case
