database_identifier,Transmission across Chemical Synapses,Neuronal System,Developmental Biology,Aerobic respiration and respiratory electron transport,Metabolism,Phase II - Conjugation of compounds,Metabolism of nucleotides,Sulfur amino acid metabolism,Signal Transduction,Disease,Innate Immune System,Immune System,Toll-like Receptor Cascades,Metabolism of steroid hormones,Nicotinate metabolism,Metabolism of water-soluble vitamins and cofactors,Metabolism of vitamins and cofactors,Nicotinamide salvaging,Metabolism of amine-derived hormones,Biological oxidations,Cytochrome P450 - arranged by substrate type,Phase I - Functionalization of compounds,Miscellaneous substrates,Endogenous sterols,Xenobiotics,Generic Transcription Pathway,Abacavir ADME,Abacavir metabolism,Visual phototransduction,Cellular responses to stress,"Metabolism of ingested SeMet, Sec, MeSec into H2Se",Selenoamino acid metabolism,The canonical retinoid cycle in rods (twilight vision),Peptide hormone metabolism,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand,Metabolism of polyamines,Signaling by GPCR,Class A/1 (Rhodopsin-like receptors),Olfactory Signaling Pathway,Transport of small molecules,GPCR downstream signalling,Metabolism of proteins,G alpha (s) signalling events,G alpha (i) signalling events,"Transport of bile salts and organic acids, metal ions and amine compounds",Transport of inorganic cations/anions and amino acids/oligopeptides,"Transport of vitamins, nucleosides, and related molecules",SLC-mediated transmembrane transport,Proton-coupled monocarboxylate transport,GPCR ligand binding,Diseases of Immune System,Signaling by Retinoic Acid,RA biosynthesis pathway,Organic cation/anion/zwitterion transport,Metabolism of lipids,Metabolic disorders of biological oxidation enzymes,Diseases associated with the TLR signaling cascade,Organic anion transport,Defective SLC29A3 causes histiocytosis-lymphadenopathy plus syndrome (HLAS),Defective SLC16A1 causes symptomatic deficiency in lactate transport (SDLT),SLC transporter disorders,Disorders of transmembrane transporters,Infectious disease,Diseases of metabolism,Surfactant metabolism,Regulation of TLR by endogenous ligand,Post-translational protein modification,tRNA modification in the nucleus and cytosol,Metabolism of fat-soluble vitamins,Pyruvate metabolism,Tryptophan catabolism,Metabolism of amino acids and derivatives,tRNA processing,Pyrimidine salvage,Pyrimidine catabolism,RNA Polymerase II Transcription,Base Excision Repair,DNA Repair,Gene expression (Transcription),Purine salvage,Purine catabolism,Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane,Transcriptional regulation by RUNX2,Metabolism of RNA,Cellular responses to stimuli,Nucleotide catabolism,Nucleotide salvage,Metabolism of steroids,Signaling by Nuclear Receptors,Signaling by TGFB family members,FOXO-mediated transcription,Vitamin B6 activation to pyridoxal phosphate,Sensory Perception,Nucleotide salvage defects,Defective HPRT1 disrupts guanine and hypoxanthine salvage,Defective PNP disrupts phosphorolysis of (deoxy)guanosine and (deoxy)inosine,Nucleotide catabolism defects,Diseases of nucleotide metabolism,Drug ADME,Aspirin ADME,Retinoid metabolism and transport,Defective regulation of TLR7 by endogenous ligand,group_type
S00001166,0.18789388434872328,0.18789388434872328,-0.04812974395587659,0.2632843635461962,-0.052151373577803056,0.35048088285560647,-0.07489217073146531,-0.1644735858551403,0.21137453396175462,-0.3383801702401324,0.012433589494825347,0.012433589494825347,0.012433589494825347,-0.0010670677165043098,0.2632843635461962,0.35397553582320196,0.0069115303681062225,0.2632843635461962,-0.6326620872595909,0.06310740725219836,-0.1899436462873276,-0.18589896532214822,0.04094197231853047,0.27928401832822275,-0.18129223994063204,0.20807998496278257,-0.5810472991825201,-0.5810472991825201,0.2607790237015068,0.1625429738254837,-0.2866141759427501,-0.2866141759427501,-0.41639658332361257,0.015972906588322584,-0.0010670677165043098,0.26185766244140757,0.2421269285867838,0.18814490790623295,0.0390435760066901,-0.2659300085068898,0.11823010293085182,0.324630089795175,0.30105629714859083,-0.11386320107260174,-0.02077070561800776,0.14499286972787426,0.46204315024406223,-0.2659300085068898,0.07635202418395885,0.2421269285867838,0.012433589494825347,0.11164493839173263,0.11164493839173263,0.2064276124222574,0.18171609321058438,-0.3606076955856364,0.012433589494825347,-0.006816358065504097,-0.04439232333189826,0.07635202418395885,-0.36744190757964856,-0.36744190757964856,-0.2866141759427501,-0.1909418492936965,-0.5810472991825201,0.012433589494825347,0.26008954650112376,0.23901048543712858,0.5051703005881467,0.2632843635461962,0.3895978702304555,-0.2554717984754617,0.23901048543712858,0.46482239887490956,0.46482239887490956,0.20807998496278257,-0.5185523855327621,0.5083884463969098,0.20807998496278257,-0.4505669372606235,-0.2893490590513529,0.5135341357793112,-0.0010670677165043098,0.23901048543712858,0.1625429738254837,-0.07489217073146531,-0.17304189919148483,0.16173460662523417,0.11164493839173263,-0.04812974395587659,0.29509968587583735,0.7267869757410567,0.30165266236857846,0.483464067448404,-0.4747498607185457,-0.16803146213687936,-0.16803146213687936,-0.4505669372606235,-0.1494642031371598,0.07635202418395885,0.2607790237015068,0.012433589494825347,Control
S00001173,-0.29160836741971063,-0.29160836741971063,0.5833372344348634,0.2405852730419253,0.1845766242139636,-0.41501658920192247,-0.4513385554290465,0.3690353215355013,0.024349177975207036,0.18525230439324564,-0.5377061092798974,-0.5377061092798974,-0.5377061092798974,0.04381599874871324,0.2405852730419253,0.3924538582692482,0.2877518783728906,0.2405852730419253,-0.5942674289922416,-0.28290662956478557,-0.14049415077249433,-0.034408677056530994,-0.5913612914136196,0.18778369865353395,-0.5705691347127348,-0.17477143853455693,-0.6574574344012611,-0.6574574344012611,-0.49599968327253274,-0.10835755809585008,-0.35842843126698914,-0.35842843126698914,-0.07654236849151318,-0.3558559616228174,0.04381599874871324,-0.3998106971686692,0.1216189437546056,0.18425953711646242,0.29416474445702073,0.11303872691584084,0.09153902074233672,0.27021119254221737,-0.38525239934815936,0.13958893083679053,0.30809592526282414,0.26063599541499377,-0.035709917398169914,0.11303872691584084,0.2529256099005559,0.1216189437546056,-0.5377061092798974,-0.5835463666252053,-0.5835463666252053,-0.02260884917034805,-0.19734311119506578,0.47683266201450775,-0.5377061092798974,0.1419294023873082,0.412806398066457,0.2529256099005559,0.1145562694143611,0.1145562694143611,-0.35842843126698914,-0.21929782748601995,-0.6574574344012611,-0.5377061092798974,0.02083347128385548,-0.41125322997750563,-0.5223744784630279,0.2405852730419253,0.6917494760721629,-0.17382313233915023,-0.41125322997750563,-0.6405480274713286,-0.6405480274713286,-0.17477143853455693,0.6337873853428395,-0.47708617849151524,-0.17477143853455693,-0.30698097929154605,-0.3208168185679741,-0.20067514357379962,0.04381599874871324,-0.41125322997750563,-0.10835755809585008,-0.4513385554290465,0.36562415417362837,-0.08139581222842349,-0.5835463666252053,0.5833372344348634,-0.17354535648742186,0.748792448590911,-0.13948961753904002,-0.5130394627293984,0.6241319191070266,-0.5200615305182344,-0.5200615305182344,-0.30698097929154605,0.14354129969383925,0.2529256099005559,-0.49599968327253274,-0.5377061092798974,Control
S00001167,0.18360050267179856,0.18360050267179856,0.5180559947157914,-0.46444266377118726,0.12861879357685146,-0.1557131443236599,-0.06523060776620533,0.5471124218576361,-0.0024398185694672766,0.01741983720199145,-0.43907916405929354,-0.43907916405929354,-0.43907916405929354,-0.07772852438062444,-0.46444266377118726,-0.31272476120507897,0.15189251825687486,-0.46444266377118726,0.22559862096656413,0.2788680394380338,0.16851362643000795,0.30899959365955115,-0.21666626853646279,-0.31968241841252026,0.36084953249507407,-0.12952653815605653,0.2213922505415686,0.2213922505415686,-0.25784819512096246,0.2890674455414839,-0.46878974857551914,-0.46878974857551914,-0.4520679294234943,0.02532033508715629,-0.07772852438062444,-0.24432132957633232,-0.4415035449407164,-0.4923756635109813,-0.23954578900008097,0.2301350376696076,-0.3034360888568658,0.14162504631716452,-0.4963713904447016,0.564992220655015,0.5335845989347577,-0.42940758683545716,0.3087517897351822,0.2301350376696076,0.7915379508654771,-0.4415035449407164,-0.43907916405929354,-0.25223670447641805,-0.25223670447641805,-0.15474864132052862,-0.3383927018709476,0.7233599091327768,-0.43907916405929354,-0.22006292058553387,-0.2899564352317404,0.7915379508654771,0.17403009019158683,0.17403009019158683,-0.46878974857551914,-0.34360804537282535,0.2213922505415686,-0.43907916405929354,-0.3076627899348988,-0.07274740703883462,-0.36774654239917587,-0.46444266377118726,-0.47385313324220574,0.3060577305734978,-0.07274740703883462,-0.13095707404189616,-0.13095707404189616,-0.12952653815605653,-0.5476953302106422,0.4540652119405022,-0.12952653815605653,-0.1510229433465496,-0.057603046176980095,0.32266355911757816,-0.07772852438062444,-0.07274740703883462,0.2890674455414839,-0.06523060776620533,0.031339309310899864,-0.05574370679002313,-0.25223670447641805,0.5180559947157914,0.6110138664402198,-0.0325499288858912,-0.3326450929492347,0.1354722656686255,-0.1468942381308029,-0.21790227368449014,-0.21790227368449014,-0.1510229433465496,0.5803009422456356,0.7915379508654771,-0.25784819512096246,-0.43907916405929354,Control
S00001174,-0.571556846608214,-0.571556846608214,0.3202149446818222,-0.33069384507781946,-0.07685402160806032,-0.5023426497371335,-0.24156635533443596,-0.6222934441679356,0.22814977023907135,-0.28105158263602664,-0.3086979670484301,-0.3086979670484301,-0.3086979670484301,-0.31909028853201626,-0.33069384507781946,-0.14649762864911,-0.10573595675405957,-0.33069384507781946,0.06143049865730021,0.46160137188028455,0.0625176176073767,0.35226669762469964,-0.4287019891076161,-0.3485708903920688,-0.5314856163546352,0.11895706731926917,-0.34323945913140763,-0.34323945913140763,-0.4977675142403834,0.1905767740804807,-0.5019778326371109,-0.5019778326371109,0.47393040576442635,-0.5607243396846481,-0.31909028853201626,-0.09258595513280607,0.008444339898410685,-0.049732265276115545,-0.4987608962533855,-0.07721759070369998,-0.4706369931104829,-0.2877560788241989,-0.5209495727456565,-0.3519979773047734,0.05823539074292929,-0.246916609310343,-0.15032976767319825,-0.07721759070369998,-0.18887070855263216,0.008444339898410685,-0.3086979670484301,-0.431900032858431,-0.431900032858431,0.10538075303920347,-0.3040420889273497,-0.16909022082589278,-0.3086979670484301,-0.2036363856080084,0.5047436113514356,-0.18887070855263216,-0.17241066022055584,-0.17241066022055584,-0.5019778326371109,0.32164005605114576,-0.34323945913140763,-0.3086979670484301,0.6974197734405172,0.7511597764379885,-0.06502655131091695,-0.33069384507781946,0.604511068439714,-0.03610006871246971,0.7511597764379885,-0.4053137362839431,-0.4053137362839431,0.11895706731926917,0.5004379789610046,-0.4010915632357779,0.11895706731926917,-0.058863067260081434,0.05321406087732453,-0.2790286110122431,-0.31909028853201626,0.7511597764379885,0.1905767740804807,-0.24156635533443596,0.2724345395768279,-0.22955665129679642,-0.431900032858431,0.3202149446818222,0.5977344967155633,0.5239114952814563,0.10072449568702606,-0.33907056969619864,0.3949144773584147,-0.3809484530634734,-0.3809484530634734,-0.058863067260081434,-0.342388376309728,-0.18887070855263216,-0.4977675142403834,-0.3086979670484301,Control
S00001168,-0.04284835817380769,-0.04284835817380769,0.19536975104972465,-0.5764734219349485,0.24835813668823767,-0.25655793814637634,0.05112981995511112,0.1861121338894346,-0.02420684991590362,0.004628646730219123,-0.23471885986188268,-0.23471885986188268,-0.23471885986188268,-0.2121557728301784,-0.5764734219349485,0.0957697848740507,0.1339949678021548,-0.5764734219349485,0.172557607239873,-0.069289952377814,-0.3419709899426244,-0.2189423910762131,-0.026116884367023262,0.003162764243139822,-0.1938429136828337,-0.12011038811182677,0.6171125713947762,0.6171125713947762,-0.39728106018543474,-0.2176409912360835,-0.5109627513393704,-0.5109627513393704,0.7135730086631935,0.1093132258248897,-0.2121557728301784,-0.3003620992238825,-0.11570160388966488,-0.04420239809976888,0.10153099878806197,0.2150238235655124,-0.024950355551172716,0.034846625215308034,0.3191341011234778,-0.34184851188008036,0.28792891736088166,-0.47434201359923994,-0.250785460765224,0.2150238235655124,-0.39097154101719694,-0.11570160388966488,-0.23471885986188268,-0.2314369984660973,-0.2314369984660973,-0.0563185643749995,-0.10155971102786504,-0.3102561721453999,-0.23471885986188268,0.12045991619355219,0.3368868344571034,-0.39097154101719694,0.10654857835317537,0.10654857835317537,-0.5109627513393704,0.10702864923350631,0.6171125713947762,-0.23471885986188268,-0.4064138115972447,-0.027775495037291507,-0.401030553431623,-0.5764734219349485,0.004712733410219442,0.2950289247841565,-0.027775495037291507,-0.4659927365996767,-0.4659927365996767,-0.12011038811182677,-0.458423134397492,0.4819223599400036,-0.12011038811182677,0.06600322825648684,0.00846066224313188,-0.21978680506245105,-0.2121557728301784,-0.027775495037291507,-0.2176409912360835,0.05112981995511112,0.2997244253216953,-0.30405006373378907,-0.2314369984660973,0.19536975104972465,-0.38210932989147917,0.7324958650386352,-0.27454062717983363,0.5418434893094115,-0.5454840053239667,0.22160842508448636,0.22160842508448636,0.06600322825648684,-0.040505896696677174,-0.39097154101719694,-0.39728106018543474,-0.23471885986188268,Control
S00001175,0.6919599982981357,0.6919599982981357,-0.5276742978625291,0.5046142471758871,0.15490992603782494,0.23149175395263805,0.1677812646170357,-0.15772014957131225,0.4580036858195088,-0.011655935340271902,0.3566744215978932,0.3566744215978932,0.3566744215978932,-0.5047949354500897,0.5046142471758871,0.5005697740200257,0.2777528227161558,0.5046142471758871,-0.42956124924701933,0.38020597861970984,0.08983049402582079,0.3574987447324254,-0.21644246636644118,-0.43076920969344656,-0.5537719328714031,-0.2913308307404495,0.144594577938467,0.144594577938467,0.15467483672443832,-0.5351965532326094,0.47616297378741085,0.47616297378741085,-0.5238481955288804,0.5585562523851325,-0.5047949354500897,0.2771666884122171,-0.1542173690569524,-0.22682278191021846,-0.393885744124274,0.045534888118623766,-0.12943881304270163,0.1406169728494152,-0.42161011800936116,-0.2950827566306628,0.0947204399891877,0.42617280658739704,0.0077631097044934825,0.045534888118623766,-0.31142704932401755,-0.1542173690569524,0.3566744215978932,-0.13118978874039397,-0.13118978874039397,0.09736321450206933,-0.34319078819928567,-0.20170209140968556,0.3566744215978932,-0.37952732094083186,-0.464026775874953,-0.31142704932401755,-0.10697584473302066,-0.10697584473302066,0.47616297378741085,0.3626819087050921,0.144594577938467,0.3566744215978932,-0.06594126291406303,0.05510570538095777,0.06572087815592349,0.5046142471758871,-0.6314396023894422,-0.06899095069683227,0.05510570538095777,0.6467261177690637,0.6467261177690637,-0.2913308307404495,0.20774159162121497,-0.16041931233994092,-0.2913308307404495,0.26130510184586697,0.06976033667594758,0.05764936125421776,-0.5047949354500897,0.05510570538095777,-0.5351965532326094,0.1677812646170357,-0.3307332036331955,-0.4231929401214643,-0.13118978874039397,-0.5276742978625291,-0.4541371300157567,0.7374924229408565,0.42975167967071826,-0.13688664106115378,0.22334264526691472,0.32934339160706794,0.32934339160706794,0.26130510184586697,-0.427717995252318,-0.31142704932401755,0.15467483672443832,0.3566744215978932,Control
S00001169,0.3580364742986829,0.3580364742986829,0.6461292190675582,-0.4370393143707884,0.30350883196377454,-0.5584441283363958,0.044377455235956015,0.6914698654242328,0.4000354754506761,0.10142579442975484,0.4453031879564471,0.4453031879564471,0.4453031879564471,-0.4197946014050893,-0.4370393143707884,0.38138678112082586,0.35398719058729766,-0.4370393143707884,-0.6014172231905288,-0.19543390811894126,-0.41762144131145035,-0.04154158806601211,-0.40213667979822354,-0.3345764250708352,-0.08072365422445181,-0.43355155127723605,0.6097711766918086,0.6097711766918086,-0.1457365248746738,-0.33687742088730194,-0.4589845753977757,-0.4589845753977757,-0.5186407676118967,0.128423283932663,-0.4197946014050893,-0.4092877762824764,0.04412690266816005,-0.34518544501411086,-0.15185768342695452,0.1862389688875204,0.056477491958782385,-0.003756714869699987,-0.21725032409289832,-0.5270964328359231,-0.06989751343820585,-0.4598915653631263,-0.17025159475769985,0.1862389688875204,-0.35189137943311816,0.04412690266816005,0.4453031879564471,-0.41216173762715186,-0.41216173762715186,0.012445785312730483,-0.341585687614841,0.4677644071571702,0.4453031879564471,-0.3166915744250023,-0.207035947386991,-0.35189137943311816,0.2327334529410038,0.2327334529410038,-0.4589845753977757,-0.27228857059046263,0.6097711766918086,0.4453031879564471,-0.5966768924488406,-0.5397116613755252,-0.38242870357061365,-0.4370393143707884,-0.5640616657010755,-0.0918705762087359,-0.5397116613755252,-0.5293800622182625,-0.5293800622182625,-0.43355155127723605,-0.5862560902057304,0.6160749616651594,-0.43355155127723605,0.3861863584733697,0.3909281400439536,-0.1914952399950694,-0.4197946014050893,-0.5397116613755252,-0.33687742088730194,0.044377455235956015,0.18243552656129192,-0.5563358568530905,-0.41216173762715186,0.6461292190675582,-0.09466182465707135,0.2746652997066792,0.31422290928415325,0.6388150889527333,-0.6374291586934218,0.621791037041254,0.621791037041254,0.3861863584733697,0.23623424288213093,-0.35189137943311816,-0.1457365248746738,0.4453031879564471,Control
S00001176,0.5968092135427805,0.5968092135427805,-0.24190453003349727,0.4293477189022629,0.19721182775293658,-0.5433318642635351,-0.3736936588068391,-0.158237259084576,0.0787827607332211,0.18977242961781474,-0.15726856581096313,-0.15726856581096313,-0.15726856581096313,0.21295656321707393,0.4293477189022629,0.588386523736542,0.30353260675065435,0.4293477189022629,-0.1522637188614453,-0.11576941591912145,-0.04427032663185534,0.01949539442024659,0.35779842337241746,-0.43714626001861023,0.16712582485222172,-0.15287691600078504,-0.6517436786371227,-0.6517436786371227,0.42138588013684786,-0.13244059235486558,0.5520799162773882,0.5520799162773882,-0.45494368818290937,0.522735793426433,0.21295656321707393,0.33494273736868047,-0.236635388797632,-0.32547328856278246,-0.11978696112612823,-0.06480057913605827,-0.037425947189446,0.28467356215902223,-0.3822786357176982,-0.47081755724650964,0.4017419536253692,-0.4876076538114727,0.3856748454291615,-0.06480057913605827,0.78983038775764,-0.236635388797632,-0.15726856581096313,0.30010851289294804,0.30010851289294804,-0.1587185056275127,-0.17423870512633374,0.42220521321948873,-0.15726856581096313,-0.11480300735260639,0.43473708323721094,0.78983038775764,0.09893868433217025,0.09893868433217025,0.5520799162773882,-0.3210065785904571,-0.6517436786371227,-0.15726856581096313,-0.05781173409453111,0.057340457921513224,0.21588769662302298,0.4293477189022629,-0.12654600411006095,0.18961112884793233,0.057340457921513224,-0.5955218196791585,-0.5955218196791585,-0.15287691600078504,0.09333108860146495,-0.06663449906188162,-0.15287691600078504,-0.508724587965699,-0.4559984227807536,0.24040873868855772,0.21295656321707393,0.057340457921513224,-0.13244059235486558,-0.3736936588068391,0.47032405844741815,0.0780588561488413,0.30010851289294804,-0.24190453003349727,-0.26635164841925024,0.4516071129852402,0.5496545419404562,0.6221438876894629,-0.6524919941583935,-0.33235813793486546,-0.33235813793486546,-0.508724587965699,0.3444417380044241,0.78983038775764,0.42138588013684786,-0.15726856581096313,Control
S00001170,-0.3780902251364981,-0.3780902251364981,-0.40754939940882867,0.6720934884929327,0.43240059622056093,0.7603735978957639,0.586678729757409,-0.5978537800517411,-0.0035619940195430345,0.5408483997863207,0.5879873619023446,0.5879873619023446,0.5879873619023446,-0.3876241069235243,0.6720934884929327,0.30645643825852825,0.3978163059743373,0.6720934884929327,-0.572316938641625,-0.3550707319690294,-0.3850394446613729,-0.4841187739540203,-0.44833069316879337,0.5397141937244393,-0.5303602463846179,-0.3196094132555671,0.5649544363380803,0.5649544363380803,-0.40941438393142765,-0.3979622366984025,0.7068346416699512,0.7068346416699512,0.5173186722249483,-0.14139911655603066,-0.3876241069235243,0.6561063343451132,0.06495249980283743,0.18959169556233918,-0.08360035670568285,0.529172411660706,0.18836811677950144,-0.47385211492401863,0.5863328852617926,-0.2386481823909613,0.5296913413063449,0.7156939535329139,-0.4298794497271428,0.529172411660706,0.8193772060026019,0.06495249980283743,0.5879873619023446,-0.401254414527083,-0.401254414527083,-0.4666327554245927,-0.029439676233220816,-0.15318475062204429,0.5879873619023446,0.5739855449590665,-0.46587684154683767,0.8193772060026019,0.5473473569588941,0.5473473569588941,0.7068346416699512,0.2485081578964885,0.5649544363380803,0.5879873619023446,0.6543158319859403,0.7356032233381802,-0.38659875586787923,0.6720934884929327,-0.6209348087678691,-0.4276726186486199,0.7356032233381802,0.5537367672099809,0.5537367672099809,-0.3196094132555671,0.3250026269356201,-0.31417376369043504,-0.3196094132555671,0.5661894553945287,0.5805247321666968,-0.20690259051501345,-0.3876241069235243,0.7356032233381802,-0.3979622366984025,0.586678729757409,-0.3616661602416584,0.10338169929939324,-0.401254414527083,-0.40754939940882867,-0.28090264934409165,-0.23452598029271118,-0.31962162617304457,-0.26827529974021086,0.3291299043048867,0.5848055282865547,0.5848055282865547,0.5661894553945287,0.6347769570727556,0.8193772060026019,-0.40941438393142765,0.5879873619023446,Control
S00001177,0.0062203928239913595,0.0062203928239913595,0.023433806105049842,0.24439191926080758,0.25212716964251886,0.09264080682488098,0.5673223111334158,-0.3888389043176239,-0.1250610325833109,0.4373107105806363,0.5962978629683606,0.5962978629683606,0.5962978629683606,0.5421880253618067,0.24439191926080758,0.2357611808163677,0.37760979389353544,0.24439191926080758,-0.5532730586362941,-0.1785837953125267,-0.0002699406644025677,-0.09291505655293894,0.11031770811348657,0.3504677782022794,0.5898919298597002,-0.016808815686335524,0.1853734626539301,0.1853734626539301,-0.10099426914562384,0.3837787399920566,0.3934249680223122,0.3934249680223122,-0.5704237095865873,0.4196287393474315,0.5421880253618067,0.670501902997849,-0.15096663020652812,-0.2480678380242515,0.7312448836334218,0.26730748124451414,0.020110677453454198,-0.45993637170920443,0.11999048442168964,0.04975237980014158,0.04921790616558397,0.7313122183609386,-0.28918506404916566,0.26730748124451414,0.2162601095532898,-0.15096663020652812,0.5962978629683606,0.07126256511719904,0.07126256511719904,-0.4356910250359961,0.02603636427257587,0.5055451128331806,0.5962978629683606,0.7119553807324903,-0.41637704207183834,0.2162601095532898,0.38086351662600754,0.38086351662600754,0.3934249680223122,-0.20525828115335545,0.1853734626539301,0.5962978629683606,0.5922371931273982,0.7112125151425703,-0.23576631918663724,0.24439191926080758,-0.6252344580406309,-0.401743218920485,0.7112125151425703,0.6597911174793425,0.6597911174793425,-0.016808815686335524,0.525432603892399,-0.4110019769118904,-0.016808815686335524,0.5037995235678592,0.47344555804548827,-0.12209406367018401,0.5421880253618067,0.7112125151425703,0.3837787399920566,0.5673223111334158,-0.3830296017894899,0.5637709295278789,0.07126256511719904,0.023433806105049842,0.19439324888570758,0.33970713149875265,-0.26810800187092815,-0.40395269956257146,0.5451345002034998,0.4766883308926379,0.4766883308926379,0.5037995235678592,0.2100190061876301,0.2162601095532898,-0.10099426914562384,0.5962978629683606,Control
