database_identifier,Neurotransmitter release cycle,Neurotransmitter clearance,Transmission across Chemical Synapses,Neuronal System,Metabolism,Synthesis of PC,Glycerophospholipid biosynthesis,Phospholipid metabolism,Metabolism of nucleotides,Signal Transduction,Disease,Acetylcholine Neurotransmitter Release Cycle,Signaling by GPCR,Class A/1 (Rhodopsin-like receptors),Transport of small molecules,GPCR downstream signalling,Metabolism of proteins,G alpha (i) signalling events,"Transport of bile salts and organic acids, metal ions and amine compounds","Transport of vitamins, nucleosides, and related molecules",SLC-mediated transmembrane transport,GPCR ligand binding,Organic cation transport,Organic cation/anion/zwitterion transport,Metabolism of lipids,SLC transporter disorders,Disorders of transmembrane transporters,Diseases of metabolism,Metabolism of amino acids and derivatives,Purine salvage,Purine catabolism,Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane,Nucleotide catabolism,Nucleotide salvage,Diseases of nucleotide metabolism,group_type
C16,-0.4847266128696339,-0.4847266128696339,-0.4847266128696339,-0.4847266128696339,0.39561752419544305,-0.4847266128696339,-0.4847266128696339,-0.4847266128696339,-0.4528959536182179,-0.29126627187964577,-0.4396298396504688,-0.4847266128696339,-0.30581035700059267,-0.30581035700059267,0.5666189938013835,-0.30581035700059267,-0.3180082835587265,-0.30581035700059267,-0.5301498222114687,-0.3897961839249859,0.5666189938013835,-0.30581035700059267,-0.5558497486101676,-0.5301498222114687,-0.09977771949515753,-0.3071368563140683,-0.3071368563140683,-0.3897961839249859,-0.4961348175651852,-0.3897961839249859,-0.4528959536182179,-0.3897961839249859,-0.4528959536182179,-0.3897961839249859,-0.3897961839249859,Control
C21,0.6648324233968121,0.6648324233968121,0.6648324233968121,0.6648324233968121,0.11332396485522428,0.6648324233968121,0.6648324233968121,0.6648324233968121,0.12190667489617737,0.5589011349957642,0.08668339735683173,0.6648324233968121,0.6533061499798413,0.6533061499798413,-0.5848261648274851,0.6533061499798413,0.5428786860132824,0.6533061499798413,0.6123909668886396,0.29052687148119855,-0.5848261648274851,0.6533061499798413,0.5497790142679002,0.6123909668886396,0.7129648194303569,-0.23580228172231693,-0.23580228172231693,0.29052687148119855,0.6341297587900451,0.29052687148119855,0.12190667489617737,0.29052687148119855,0.12190667489617737,0.29052687148119855,0.29052687148119855,Control
C25,-0.3270553122052361,-0.3270553122052361,-0.3270553122052361,-0.3270553122052361,0.4037045400004831,-0.3270553122052361,-0.3270553122052361,-0.3270553122052361,-0.31907691858302084,-0.29126627187964577,-0.3591809358624045,-0.3270553122052361,-0.30581035700059267,-0.30581035700059267,-0.41175952787466247,-0.30581035700059267,-0.47519275366902664,-0.30581035700059267,0.6366336788515681,-0.2874836024038325,-0.41175952787466247,-0.30581035700059267,0.686701569335175,0.6366336788515681,-0.12557000963672563,-0.5312507331781937,-0.5312507331781937,-0.2874836024038325,0.5828431946109444,-0.2874836024038325,-0.31907691858302084,-0.2874836024038325,-0.31907691858302084,-0.2874836024038325,-0.2874836024038325,Control
C31,-0.0002288788670530717,-0.0002288788670530717,-0.0002288788670530717,-0.0002288788670530717,0.3946554435627055,-0.0002288788670530717,-0.0002288788670530717,-0.0002288788670530717,-0.5231400164939989,-0.38681773932259095,-0.41591543345393284,-0.0002288788670530717,-0.39903201378351427,-0.39903201378351427,-0.2630341499570514,-0.39903201378351427,-0.47519275366902664,-0.39903201378351427,0.5906173694779636,-0.5143602201907957,-0.2630341499570514,-0.39903201378351427,0.6048601327036688,0.5906173694779636,0.00024378122523608907,-0.35899290175424203,-0.35899290175424203,-0.5143602201907957,0.6532002101681393,-0.5143602201907957,-0.5231400164939989,-0.5143602201907957,-0.5231400164939989,-0.5143602201907957,-0.5143602201907957,Control
C37,0.5487284842915133,0.5487284842915133,0.5487284842915133,0.5487284842915133,0.11852102647963651,0.5487284842915133,0.5487284842915133,0.5487284842915133,-0.5203266488205226,0.5856380266450819,-0.2570996059955301,0.5487284842915133,0.40923503915825954,0.40923503915825954,-0.31795433384743677,0.40923503915825954,0.3930020310559846,0.40923503915825954,0.5288388427092805,-0.4939238271576244,-0.31795433384743677,0.40923503915825954,0.4635728859361571,0.5288388427092805,0.5747414305342545,-0.13876588940280368,-0.13876588940280368,-0.4939238271576244,0.6241389231297296,-0.4939238271576244,-0.5203266488205226,-0.4939238271576244,-0.5203266488205226,-0.4939238271576244,-0.4939238271576244,Control
C38,-0.6307306869722652,-0.6307306869722652,-0.6307306869722652,-0.6307306869722652,0.3773870037490609,-0.6307306869722652,-0.6307306869722652,-0.6307306869722652,-0.4174105180102388,-0.5262077528467287,-0.4243810067313822,-0.6307306869722652,-0.5641108395476454,-0.5641108395476454,0.5472346463189733,-0.5641108395476454,-0.6020547196290221,-0.5641108395476454,-0.6171169239389258,-0.33524849700969667,0.5472346463189733,-0.5641108395476454,-0.6259987812121027,-0.6171169239389258,-0.517036000794726,-0.4348985159841384,-0.4348985159841384,-0.33524849700969667,-0.5915147814037242,-0.33524849700969667,-0.4174105180102388,-0.33524849700969667,-0.4174105180102388,-0.33524849700969667,-0.33524849700969667,Control
C4,0.6344994797934328,0.6344994797934328,0.6344994797934328,0.6344994797934328,-0.2051868558644822,0.6344994797934328,0.6344994797934328,0.6344994797934328,0.5362686767567109,0.5340095318225354,0.47831245359507224,0.6344994797934328,0.6280318823766886,0.6280318823766886,-0.030505147752024557,0.6280318823766886,0.665930384543371,0.6280318823766886,-0.22788278364584733,0.6862950421897425,-0.030505147752024557,0.6280318823766886,-0.5493908225464412,-0.22788278364584733,0.608400335824397,0.4607531888295975,0.4607531888295975,0.6862950421897425,-0.31280855773737964,0.6862950421897425,0.5362686767567109,0.6862950421897425,0.5362686767567109,0.6862950421897425,0.6862950421897425,Control
C40,0.007310480842272782,0.007310480842272782,0.007310480842272782,0.007310480842272782,-0.3873134945318993,0.007310480842272782,0.007310480842272782,0.007310480842272782,0.3684672562884522,0.2791653648725481,0.2988191169092343,0.007310480842272782,0.05527395521955022,0.05527395521955022,-0.5111184304159938,0.05527395521955022,0.1086833178222903,0.05527395521955022,0.6643098160132584,0.4008713514478403,-0.5111184304159938,0.05527395521955022,0.6807173983191779,0.6643098160132584,0.19462480078691952,-0.4726340562650958,-0.4726340562650958,0.4008713514478403,0.16578355458455116,0.4008713514478403,0.3684672562884522,0.4008713514478403,0.3684672562884522,0.4008713514478403,0.4008713514478403,Control
C45,0.309862554061545,0.309862554061545,0.309862554061545,0.309862554061545,0.34892395192191683,0.309862554061545,0.309862554061545,0.309862554061545,-0.41563510778089546,0.12256255629725592,-0.4508953115611047,0.309862554061545,0.2182516082646576,0.2182516082646576,0.5532877245453146,0.2182516082646576,0.1792326553541306,0.2182516082646576,-0.5022081011250452,-0.3486106962455464,0.5532877245453146,0.2182516082646576,-0.5229293859604475,-0.5022081011250452,0.4192326601592946,-0.3701714129465511,-0.3701714129465511,-0.3486106962455464,-0.2981447130509283,-0.3486106962455464,-0.41563510778089546,-0.3486106962455464,-0.41563510778089546,-0.3486106962455464,-0.3486106962455464,Control
C46,0.5888317593919611,0.5888317593919611,0.5888317593919611,0.5888317593919611,0.1026851127072463,0.5888317593919611,0.5888317593919611,0.5888317593919611,-0.24931935550091333,0.6576254898687813,-0.28531568825778636,0.5888317593919611,0.6290607521241022,0.6290607521241022,0.413050319380733,0.6290607521241022,0.6226844415214858,0.6290607521241022,-0.4059747882385799,-0.1339063527604217,0.413050319380733,0.6290607521241022,-0.42082107532775886,-0.4059747882385799,0.6492701577064826,-0.15394028131284462,-0.15394028131284462,-0.1339063527604217,-0.3293640043848456,-0.1339063527604217,-0.24931935550091333,-0.1339063527604217,-0.24931935550091333,-0.1339063527604217,-0.1339063527604217,Control
