index,P-value,Stat,Direction,FDR_P-value
"DG(20:5(5Z,8Z,11Z,14Z,17Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)",3.146e-19,-11.403,Down,1.494e-16
diacylglycerol 41:5,6.380e-18,-10.77,Down,1.515e-15
2-palmitoylglycerol,1.064e-17,-10.663,Down,1.684e-15
1-monopalmitoylglycerol,1.415e-15,-9.644,Down,1.680e-13
threonic acid,4.143e-15,-9.421,Down,3.936e-13
phosphatidylethanolamine O-18:2_18:2,2.223e-14,-9.073,Down,1.760e-12
lysophosphatidylcholine 18:2,3.514e-14,-8.978,Down,2.384e-12
fatty acid 20:4,1.169e-13,8.728,Up,6.943e-12
phosphatidylethanolamine O-18:2_20:4,1.363e-13,-8.696,Down,7.193e-12
fatty acid 18:1,1.529e-13,8.672,Up,7.264e-12
phosphatidylethanolamine O-16:1_18:2,3.163e-13,-8.521,Down,1.366e-11
diacylglycerol 38:3,8.686e-13,-8.31,Down,3.438e-11
phosphatidylethanolamine O-16:1_20:4,4.937e-12,-7.947,Down,1.804e-10
hexadecanoic acid,1.290e-11,7.745,Up,4.377e-10
"2,2,4,6,6-pentamethylheptane",7.710e-11,-7.366,Down,2.442e-09
lysophosphatidylcholine O-18:1,1.089e-10,7.292,Up,3.233e-09
diacylglycerol 40:3,1.879e-10,-7.175,Down,5.250e-09
"erythrono-1,4-lactone",2.950e-10,-7.079,Down,7.784e-09
phosphatidylethanolamine O-18:1_20:4,5.341e-10,-6.951,Down,1.335e-08
1-linoleoyl-sn-glycero-3-phosphocholine,6.350e-10,-6.913,Down,1.436e-08
1-tetracosanoyl-sn-glycero-3-phosphocholine,6.175e-10,-6.919,Down,1.436e-08
N-acylethanolamine 22:5,1.502e-09,6.726,Up,3.244e-08
phosphatidylcholine O-34:2,3.842e-09,-6.521,Down,7.934e-08
fatty acid 18:2,4.163e-09,6.503,Up,8.240e-08
2-stearoylglycerol,1.061e-08,-6.296,Down,1.938e-07
4-hydroxybenzaldehyde,1.026e-08,-6.303,Down,1.938e-07
phosphatidylcholine 36:4,1.616e-08,6.202,Up,2.843e-07
"2,6-dimethylnonane",1.770e-08,-6.181,Down,3.003e-07
(2E)-hexadecenoylcarnitine,1.953e-08,6.159,Up,3.195e-07
phosphatidylinositol 40:4,2.059e-08,-6.147,Down,3.195e-07
sphingomyelin 36:2,2.085e-08,6.144,Up,3.195e-07
diacylglycerol 38:2,3.247e-08,-6.045,Down,4.820e-07
"3,4-dihydroxybutyric acid",3.437e-08,6.032,Up,4.947e-07
diacylglycerol 40:5,3.866e-08,-6.005,Down,5.401e-07
tryptophan,4.892e-08,-5.952,Down,6.639e-07
1-Deoxy-D-ribitol,5.037e-08,5.945,Up,6.646e-07
