Samples,Class,1-methylguanidine,1-methylimidazoleacetate,1-methylnicotinamide,2-aminoheptanoate,2-methylbutyrylcarnitine (C5),2-methylmalonyl carnitine,2-oxindole-3-acetate,2-piperidinone,3-aminoisobutyrate,3-(cystein-S-yl)acetaminophen,3-hydroxybutyrylcarnitine (1),3-hydroxybutyrylcarnitine (2),3-methoxytyrosine,3-methylglutarylcarnitine (2),3-ureidopropionate,4-aminohippurate,4-guanidinobutanoate,4-imidazoleacetate,5-hydroxyindoleacetate,5-hydroxylysine,5-methylthioadenosine (MTA),7-methylguanine,7-methylxanthine,acetylcarnitine,adenine,adenosine,adipate,adipoylcarnitine,ADSGEGDFXAEGGGVR,arginine,benzoylcarnitine,beta-alanine,beta-hydroxyisovaleroylcarnitine,betaine,betonicine,butyrylcarnitine,caffeine,carnitine,choline,choline phosphate,cotinine,cotinine N-oxide,creatinine,cys-gly_ oxidized,cystathionine,cysteine,cysteine-glutathione disulfide,cysteine sulfinic acid,cysteinylglycine,cystine,deoxycarnitine,dimethylarginine (SDMA + ADMA),dimethylglycine,ectoine,ergothioneine,gamma-glutamyl-2-aminobutyrate,gamma-glutamylalanine,gamma-glutamyl-epsilon-lysine,gamma-glutamylglutamate,gamma-glutamylglutamine,gamma-glutamylglycine,gamma-glutamylhistidine,gamma-glutamylleucine,gamma-glutamylphenylalanine,gamma-glutamylthreonine,gamma-glutamylvaline,glutamate,glutamine,glutarylcarnitine (C5),glycerol 3-phosphate,glycine,glycylvaline,guanidinosuccinate,histidine,homoarginine,homostachydrine,hydroxycotinine,hydroxypioglitazone (M-IV),hypotaurine,imidazole propionate,indoleacetylglutamine,indolepropionate,isobutyrylcarnitine,isoleucine,isovalerylcarnitine,kynurenate,kynurenine,leucine,leucylalanine,lidocaine,lysine,metformin,methionine,methionine sulfone,methionine sulfoxide,methyl indole-3-acetate,N1-Methyl-2-pyridone-5-carboxamide,N1-methyladenosine,N1-methylinosine,N1_N12-diacetylspermine,N2_N2-dimethylguanosine,N4-acetylcytidine,N6-carboxymethyllysine,N6-methyladenosine,N6_N6_N6-trimethyllysine,N-acetyl-1-methylhistidine,N-acetylarginine,N-acetylasparagine,N-acetyl-aspartyl-glutamate (NAAG),N-acetyl-cadaverine,N-acetylcarnosine,N-acetylkynurenine (2),N-acetylneuraminate,N-acetylproline,N-acetylputrescine,N-carbamoylaspartate,N-ethylglycinexylidide,nicotinamide,N-methylpipecolate,N-methylproline,O-desmethyltramadol,O-desmethyltramadol glucuronide,ornithine,phenylacetylcarnitine,phenylacetylglutamine,phenylalanine,pimeloylcarnitine/3-methyladipoylcarnitine,pivaloylcarnitine,pro-hydroxy-pro,prolylglycine,propionylcarnitine,pseudoephedrine,pyroglutamine*,pyrraline,quinolinate,S-1-pyrroline-5-carboxylate,S-allylcysteine,sarcosine (N-Methylglycine),serotonin,stachydrine,suberoylcarnitine,succinylcarnitine,taurine,theanine,theobromine,thioproline,threonine,threonylphenylalanine,tiglylcarnitine,topiramate,Tramadol,trans-urocanate,trigonelline (N^-methylnicotinate),trimethylamine N-oxide,tryptophan,tryptophan betaine,tyrosine,urea,valine,xanthurenate
121,Type:Control,0.0,990891.0,1275806.0,0.0,1957229.0,0.0,0.0,172468112.0,18320798.0,0.0,4826265.0,1625287.0,1199687.0,308726.0,445229.0,0.0,270348.0,0.0,158102.0,487661.0,143243.0,3422206.0,0.0,285488928.0,960707.0,254444.0,2490504.0,1786343.0,284782.0,639496384.0,0.0,0.0,0.0,499291520.0,0.0,4493143.0,10693741.0,1227454720.0,221309856.0,2523084.0,0.0,0.0,320351552.0,2042670.0,0.0,2149253.0,13680489.0,557903.0,0.0,57853872.0,22707444.0,57648972.0,31863900.0,205294.0,2921590.0,983638.0,3675871.0,853725.0,0.0,47213808.0,9107463.0,0.0,1641520.0,499369.0,0.0,0.0,230395072.0,2810441216.0,746615.0,489521.0,190505088.0,0.0,0.0,565672320.0,30376274.0,0.0,0.0,24573018.0,4712584.0,545319.0,0.0,284965.0,1581097.0,509436832.0,3243178.0,1076350.0,14801652.0,589127744.0,931617.0,186957888.0,438008032.0,0.0,346335168.0,926304.0,4638783.0,218248.0,2600645.0,2658940.0,371472.0,121737.0,331964.0,0.0,0.0,0.0,13785318.0,0.0,786442.0,876596.0,0.0,0.0,887150.0,0.0,1578657.0,351166.0,1014715.0,490842.0,5759535.0,7975766.0,6291109.0,7123395.0,0.0,0.0,202341568.0,0.0,1726239.0,975777408.0,565536.0,0.0,10850371.0,204955.0,6426760.0,0.0,63978628.0,0.0,460928.0,0.0,0.0,0.0,3100647.0,166236320.0,1452676.0,685648.0,208507264.0,204453.0,1446419.0,1447188.0,411466432.0,758986.0,276210.0,0.0,0.0,5763610.0,6280933.0,24675880.0,425621280.0,9472985.0,265740400.0,335771392.0,859710208.0,145352.0
144,Type:Control,155508.0,2285003.0,803352.0,1836203.0,5443176.0,146004.0,82111.0,192097408.0,25248584.0,0.0,2353087.0,2328836.0,2450961.0,1874821.0,0.0,0.0,364726.0,427002.0,363565.0,978078.0,1093472.0,6493049.0,230370.0,547067712.0,2904528.0,318588.0,489367.0,1929064.0,316924.0,728536704.0,102913.0,8980835.0,779484.0,597259200.0,0.0,16323641.0,39408876.0,2336422912.0,254039184.0,1883468.0,0.0,0.0,634215872.0,2756750.0,740782.0,4591830.0,5637698.0,383518.0,2868423.0,69793456.0,41884704.0,66603864.0,19031208.0,931696.0,6268415.0,1054613.0,7708536.0,1798297.0,135554.0,43875232.0,5222296.0,455160.0,2582121.0,1109212.0,204987.0,4756656.0,636886016.0,2097588224.0,2728739.0,313726.0,100187712.0,237663.0,0.0,577703936.0,64786364.0,2315911.0,0.0,0.0,3116956.0,450748.0,101482.0,694296.0,6654861.0,620275008.0,9729207.0,2630146.0,40080876.0,679613440.0,2197317.0,0.0,657607872.0,0.0,391944576.0,514861.0,4343131.0,670989.0,7611654.0,4166372.0,0.0,0.0,802411.0,228646.0,0.0,243793.0,20727164.0,775487.0,3109898.0,1100201.0,0.0,51032.0,3481732.0,403690.0,2332179.0,204243.0,2673132.0,482261.0,0.0,5579540.0,11999880.0,2372946.0,0.0,0.0,234259424.0,0.0,22577436.0,1262355456.0,98090.0,0.0,17471422.0,1108042.0,27595780.0,0.0,101703352.0,0.0,1407072.0,1617670.0,0.0,2303875.0,404976.0,6253530.0,456291.0,1923997.0,219104192.0,3320379.0,4999224.0,2978913.0,453105824.0,879776.0,0.0,0.0,0.0,3703305.0,1660463.0,30901944.0,678842432.0,45628392.0,440366336.0,317658304.0,1142625408.0,189593.0
22,Type:Control,81779.0,574688.0,3246161.0,1004283.0,1699774.0,89619.0,0.0,85258184.0,11313164.0,0.0,395821.0,304994.0,991814.0,290911.0,583854.0,0.0,0.0,0.0,161449.0,373164.0,299039.0,3538538.0,341592.0,42673208.0,1176024.0,245476.0,0.0,302255.0,561585.0,618605312.0,55117.0,11227292.0,0.0,469049504.0,0.0,2683514.0,22111354.0,1134857472.0,193906720.0,2953059.0,0.0,0.0,248192160.0,1399289.0,0.0,1656955.0,3241227.0,0.0,1167038.0,32919878.0,14910681.0,41452592.0,15916914.0,380222.0,298063.0,141727.0,3069201.0,654023.0,0.0,20625068.0,2944728.0,264426.0,838926.0,352996.0,0.0,1405578.0,72046352.0,2014294016.0,798775.0,415389.0,65455184.0,0.0,0.0,555264960.0,25284720.0,1905350.0,0.0,0.0,3376506.0,195854.0,0.0,1210497.0,862827.0,356329600.0,1144970.0,727623.0,14170764.0,407475872.0,524730.0,608485760.0,399467456.0,0.0,196009952.0,652086.0,3420732.0,77949.0,0.0,2738382.0,260849.0,139879.0,217879.0,147661.0,0.0,0.0,16837926.0,0.0,0.0,451950.0,0.0,0.0,1153066.0,0.0,1455420.0,143597.0,725832.0,0.0,20953276.0,3706746.0,1662320.0,3323578.0,0.0,0.0,126315792.0,0.0,4222300.0,772677888.0,76476.0,0.0,6945561.0,285934.0,4117795.0,0.0,115680336.0,0.0,458842.0,960275.0,140750.0,1176188.0,367731.0,10473921.0,0.0,231259.0,121573392.0,3204732.0,8394079.0,3042655.0,177620240.0,194598.0,0.0,0.0,0.0,1131880.0,11877525.0,21388348.0,359010720.0,7181316.0,197688304.0,146890784.0,604135936.0,0.0
25,Type:Control,50537.0,576902.0,997693.0,0.0,3731056.0,0.0,0.0,92137352.0,10701013.0,0.0,4405413.0,607688.0,790604.0,362576.0,0.0,0.0,440016.0,408310.0,0.0,488002.0,313202.0,2400370.0,780098.0,247353360.0,877329.0,295030.0,0.0,1204489.0,94197.0,575376896.0,321027.0,3548966.0,0.0,601069504.0,0.0,4747211.0,21275052.0,1492755968.0,106128328.0,1170110.0,0.0,0.0,523804704.0,1155468.0,0.0,6027086.0,1988268.0,159935.0,1201575.0,24535308.0,29000436.0,49223220.0,16132265.0,1321143.0,240293.0,1099140.0,2784371.0,931172.0,0.0,19842534.0,2440881.0,324544.0,2319379.0,502351.0,83771.0,2844096.0,178616704.0,1894119168.0,2864929.0,336063.0,53057012.0,0.0,0.0,522996160.0,22855412.0,4944775.0,0.0,0.0,1505535.0,140149.0,0.0,6915503.0,3300558.0,656137344.0,7979855.0,2155759.0,20816884.0,812485696.0,1129257.0,0.0,393426112.0,0.0,188926768.0,991616.0,2774332.0,189313.0,8343991.0,3085432.0,0.0,74894.0,274661.0,0.0,0.0,0.0,10775520.0,290390.0,1217770.0,836867.0,0.0,0.0,3321534.0,0.0,1292813.0,0.0,573832.0,0.0,0.0,0.0,0.0,4901568.0,0.0,0.0,179062784.0,0.0,7671599.0,878073344.0,254938.0,0.0,7745852.0,356715.0,12694455.0,0.0,222304000.0,46065.0,517404.0,0.0,837058.0,1529588.0,12347629.0,45039508.0,711953.0,608127.0,123368816.0,0.0,11306593.0,6680177.0,268757600.0,69887.0,314781.0,0.0,0.0,2963067.0,37292724.0,16341988.0,534704128.0,11683182.0,188078096.0,271024928.0,1115515008.0,257721.0
27,Type:Control,89533.0,1015568.0,3408157.0,1399554.0,2970018.0,297033.0,0.0,80178312.0,28861500.0,0.0,1184130.0,553195.0,1716658.0,427187.0,1046310.0,0.0,314272.0,0.0,324421.0,525378.0,185145.0,5776137.0,0.0,142549344.0,1034317.0,369733.0,224745.0,2150197.0,115251.0,512866176.0,0.0,10858702.0,0.0,375862336.0,326457.0,5502976.0,0.0,1483694208.0,161227488.0,5188429.0,0.0,0.0,302955360.0,2790946.0,301315.0,1862323.0,19095154.0,219616.0,1023857.0,26508024.0,28561906.0,59483496.0,26453884.0,35014.0,356704.0,0.0,2405535.0,1356339.0,0.0,20684580.0,5031380.0,340329.0,1985343.0,632539.0,0.0,2350712.0,153336192.0,2138494592.0,1965436.0,743992.0,102880648.0,0.0,218872.0,507624480.0,21613314.0,2257667.0,0.0,0.0,6453435.0,449226.0,0.0,1644603.0,1079717.0,626361216.0,1675657.0,1191549.0,26067288.0,545095936.0,250054.0,0.0,467058048.0,0.0,264703648.0,0.0,3530641.0,294115.0,9142549.0,3097707.0,0.0,79311.0,469552.0,208945.0,270816.0,0.0,20537402.0,0.0,1274089.0,886008.0,0.0,0.0,1581282.0,0.0,2226234.0,1059556.0,1781011.0,775342.0,0.0,7702655.0,3072467.0,65434280.0,0.0,0.0,243310608.0,0.0,6881658.0,881259328.0,223685.0,0.0,9219711.0,1273957.0,9543047.0,0.0,70379224.0,0.0,938931.0,1107244.0,207893.0,1410333.0,4372185.0,336503648.0,739315.0,1198972.0,165143120.0,0.0,273029.0,1079569.0,326953984.0,279731.0,403661.0,0.0,0.0,1411046.0,3470411.0,637769.0,508113152.0,15999092.0,224395920.0,235978672.0,713709312.0,0.0
4,Type:Control,105129.0,2172334.0,2924145.0,1307327.0,2080412.0,513047.0,0.0,181388048.0,18166958.0,0.0,1114445.0,993341.0,1172838.0,897424.0,457300.0,0.0,978393.0,439098.0,395853.0,795094.0,610657.0,4857311.0,311853.0,240495408.0,1835205.0,200840.0,275160.0,2517035.0,134075.0,705776960.0,299790.0,18243804.0,0.0,826146304.0,667797.0,5873592.0,7229785.0,1222489216.0,321521856.0,1756190.0,0.0,0.0,676233280.0,3669164.0,362698.0,8848339.0,5772151.0,281722.0,2032656.0,77304960.0,49437032.0,68231560.0,49879376.0,142108.0,2905810.0,814843.0,6718774.0,1671499.0,0.0,86846832.0,7349865.0,679298.0,2368609.0,875878.0,108034.0,3368277.0,135609776.0,2640431360.0,2550802.0,740094.0,211566096.0,0.0,512598.0,618818688.0,19680768.0,2074162.0,0.0,0.0,4831937.0,399746.0,115214.0,33400316.0,1852684.0,565224576.0,2918837.0,2348819.0,21043552.0,688574016.0,3132384.0,0.0,554657216.0,0.0,266776016.0,3170005.0,4046610.0,471597.0,13217532.0,3406411.0,546834.0,173841.0,778540.0,214486.0,0.0,188647.0,25627576.0,423980.0,1661564.0,1323678.0,189411.0,0.0,3092202.0,0.0,2187539.0,219633.0,2268893.0,0.0,0.0,4122545.0,35786824.0,111601512.0,0.0,0.0,181402240.0,0.0,10768959.0,1087953536.0,406783.0,0.0,14285110.0,1104670.0,6838989.0,0.0,201258448.0,75869.0,659215.0,1585114.0,1832286.0,2298576.0,6333082.0,1545802880.0,389854.0,879024.0,171289760.0,0.0,3161895.0,6236582.0,326413856.0,461922.0,574886.0,0.0,0.0,6829651.0,59053512.0,28283680.0,544657152.0,145957168.0,271419168.0,332152064.0,1033567936.0,215428.0
43,Type:Control,103918.0,3224708.0,1337353.0,0.0,3520763.0,334190.0,0.0,107616888.0,27600128.0,0.0,1803556.0,565256.0,1124249.0,422700.0,0.0,0.0,0.0,552961.0,146226.0,1182438.0,425278.0,4772404.0,270517.0,294626080.0,874990.0,338914.0,289309.0,600992.0,74151.0,807732288.0,110636.0,0.0,0.0,703837888.0,0.0,6793500.0,1475015.0,1893116160.0,276980672.0,4229185.0,0.0,0.0,749897344.0,1687713.0,241035.0,8313236.0,2684604.0,193595.0,2534206.0,36741572.0,60009648.0,72651984.0,40586780.0,1126948.0,1064916.0,1122857.0,5263655.0,1902918.0,0.0,27840140.0,8720247.0,648261.0,2492377.0,950841.0,0.0,1890147.0,171285936.0,2545256192.0,3622694.0,604256.0,123341192.0,0.0,0.0,670063552.0,44932504.0,672269.0,0.0,0.0,10887443.0,851169.0,0.0,7633705.0,2500386.0,694020352.0,10147810.0,2728379.0,34402776.0,769718912.0,1115199.0,0.0,726813888.0,0.0,405066400.0,1274091.0,3815567.0,474200.0,6093804.0,4342250.0,0.0,169624.0,0.0,0.0,0.0,139085.0,22187086.0,319543.0,0.0,543374.0,0.0,0.0,3691364.0,390559.0,1367473.0,0.0,721026.0,0.0,0.0,2365072.0,13154852.0,2260457.0,0.0,0.0,227480096.0,0.0,2737037.0,1138997504.0,324402.0,0.0,15182449.0,1006800.0,10801387.0,0.0,228506816.0,0.0,730642.0,0.0,0.0,0.0,6093160.0,20935324.0,356442.0,1092060.0,215054720.0,135267.0,3372794.0,4723963.0,528209408.0,363090.0,139111.0,0.0,0.0,8132078.0,1011746.0,7754003.0,635633280.0,7972092.0,252297344.0,300345696.0,1253507072.0,374355.0
49,Type:Control,470616.0,1121756.0,4820144.0,647847.0,2205565.0,0.0,0.0,192556944.0,14248578.0,0.0,1222739.0,339116.0,689797.0,587891.0,350843.0,0.0,953149.0,350452.0,153869.0,660538.0,563637.0,5079048.0,334349.0,74437136.0,2343119.0,315176.0,0.0,460740.0,84976.0,641123456.0,118244.0,9139485.0,988919.0,313043456.0,0.0,3396299.0,92198656.0,1460148608.0,252190064.0,3011167.0,5672271.0,0.0,582901696.0,1479365.0,0.0,3063870.0,3231159.0,470807.0,642294.0,37610448.0,20110736.0,51606512.0,13097454.0,2314085.0,1935190.0,624037.0,2583207.0,929258.0,0.0,30733712.0,2178675.0,287822.0,1145451.0,431207.0,0.0,1838719.0,106125376.0,1909415168.0,1331016.0,585800.0,61564460.0,0.0,0.0,639015424.0,51090472.0,2565150.0,1580420.0,0.0,4558803.0,0.0,0.0,207365.0,1279105.0,453909984.0,2690801.0,1021377.0,13428611.0,499037952.0,1773155.0,118258080.0,442364896.0,0.0,271246912.0,854248.0,3552239.0,398300.0,7432127.0,3280415.0,338933.0,0.0,432739.0,0.0,0.0,0.0,16733496.0,0.0,1468129.0,1026926.0,0.0,0.0,2411684.0,0.0,886538.0,0.0,2522881.0,0.0,6848959.0,2869798.0,32805562.0,5493729.0,0.0,0.0,116199256.0,0.0,3195666.0,897653504.0,94424.0,0.0,6934849.0,225078.0,5964710.0,0.0,226736608.0,0.0,407835.0,638247.0,0.0,0.0,354250.0,12783433.0,288826.0,0.0,178957744.0,0.0,10384865.0,3660190.0,390132608.0,510123.0,383294.0,0.0,0.0,1890833.0,181874496.0,10463381.0,456971936.0,7178704.0,228441312.0,291909344.0,733281088.0,0.0
50,Type:Control,72058.0,1009882.0,3565106.0,0.0,3289795.0,0.0,0.0,175507840.0,27459378.0,0.0,7433299.0,1337263.0,1040531.0,857130.0,707585.0,0.0,0.0,0.0,252680.0,483032.0,378798.0,5629937.0,0.0,251932256.0,1754536.0,548478.0,1318779.0,1711047.0,272043.0,601801728.0,0.0,0.0,0.0,332149888.0,0.0,2160534.0,2981632.0,1200490752.0,193168416.0,2747516.0,0.0,0.0,369719456.0,984423.0,0.0,3797976.0,2642700.0,210990.0,0.0,20911578.0,18422892.0,61925572.0,25344414.0,0.0,271438.0,845707.0,1682470.0,445692.0,0.0,17957654.0,2453280.0,0.0,2488711.0,448332.0,0.0,3184237.0,69899344.0,2215192832.0,899481.0,379039.0,96933888.0,0.0,112374.0,569280832.0,42951344.0,0.0,0.0,0.0,6814240.0,245011.0,0.0,907513.0,7257232.0,963022016.0,3347328.0,6060038.0,22018628.0,1146120320.0,743236.0,150717680.0,386558144.0,0.0,178140224.0,1088544.0,2928905.0,0.0,11831148.0,3834094.0,395127.0,144548.0,557343.0,0.0,0.0,0.0,19053000.0,0.0,1755368.0,588802.0,0.0,0.0,1075964.0,359577.0,1824679.0,0.0,1780438.0,0.0,13454737.0,2325247.0,11513726.0,1675956.0,0.0,0.0,101021904.0,0.0,11038952.0,1040943296.0,0.0,0.0,18500946.0,0.0,9254573.0,0.0,58479484.0,78641.0,783429.0,0.0,0.0,0.0,20970212.0,1761143.0,1721645.0,0.0,181180640.0,8022896.0,1657907.0,3298050.0,242039680.0,102373.0,998419.0,0.0,0.0,1436843.0,1770866.0,12067364.0,434014048.0,63348216.0,250581296.0,647058688.0,1636188416.0,799975.0
51,Type:Control,66614.0,2847490.0,649707.0,815141.0,2513152.0,234284.0,0.0,90746728.0,23075786.0,0.0,2757194.0,975688.0,1181109.0,1813488.0,0.0,0.0,322330.0,468501.0,171745.0,568613.0,305233.0,4252907.0,628743.0,311775520.0,2111593.0,449517.0,6467782.0,3299454.0,113778.0,747184128.0,128281.0,5111249.0,0.0,582171584.0,0.0,10651575.0,157287536.0,1136026240.0,293752768.0,4344839.0,348334.0,0.0,418070848.0,2627091.0,253429.0,5019666.0,8459448.0,450211.0,1298652.0,46885084.0,34084648.0,63387616.0,25645194.0,451785.0,305115.0,928253.0,2467548.0,1594974.0,112615.0,51283440.0,12206731.0,417926.0,2425741.0,708307.0,319618.0,3312374.0,374002176.0,3327663360.0,1390100.0,738808.0,199172032.0,0.0,0.0,719983552.0,19640984.0,2753203.0,0.0,0.0,4041971.0,1351456.0,135670.0,0.0,780077.0,351419392.0,3646818.0,1134807.0,15925202.0,620192448.0,741058.0,0.0,475375552.0,0.0,306200352.0,2358033.0,4423924.0,296646.0,7184382.0,3245149.0,565263.0,105397.0,330556.0,156106.0,0.0,134098.0,21369376.0,867180.0,1692298.0,658246.0,0.0,221718.0,2646772.0,0.0,2356624.0,0.0,1240997.0,0.0,0.0,4147931.0,2739586.0,6371077.0,0.0,0.0,118235808.0,0.0,2196146.0,808661312.0,658307.0,0.0,17447096.0,549455.0,6652884.0,0.0,196946864.0,0.0,608818.0,1066170.0,4083690.0,0.0,889516.0,91305648.0,1828129.0,1507747.0,77801376.0,0.0,12142471.0,4179538.0,866175424.0,814277.0,313542.0,0.0,0.0,2862316.0,63836192.0,9281197.0,536630784.0,28674484.0,195626576.0,179688448.0,987021312.0,0.0
