Samples,Class,1-arachidonoyl-GPA (20:4),1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4),1-palmitoyl-2-linoleoyl-GPI (16:0/18:2),1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*,1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),1-stearoyl-2-linoleoyl-GPI (18:0/18:2),2_3-dihydroxyisovalerate,2-hydroxybutyrate/2-hydroxyisobutyrate,2-hydroxyglutarate,2-isopropylmalate,3-hydroxy-2-ethylpropionate,3-hydroxy-3-methylglutarate,3-hydroxybutyrate (BHBA),3-hydroxyisobutyrate,3-methylglutaconate,5-acetylamino-6-amino-3-methyluracil,5-acetylamino-6-formylamino-3-methyluracil,alanine,allantoin,alpha-ketoglutarate,arabitol/xylitol,arabonate/xylonate,asparagine,citrulline,creatine,dihydroorotate,erythritol,erythronate*,ethylmalonate,fructose,fumarate,galactonate,gluconate,glucose,glucuronate,glutarate (pentanedioate),glycerate,glycerophosphoethanolamine,glycerophosphorylcholine (GPC),guanidinoacetate,gulonic acid*,hydantoin-5-propionic acid,imidazole lactate,maleate,malonate,maltose,mannitol/sorbitol,mannose,methylmalonate (MMA),methylsuccinate,myo-inositol,N-acetylalanine,N-acetylaspartate (NAA),N-acetylglutamate,N-acetylserine,N-acetylthreonine,N-delta-acetylornithine,orotate,orotidine,phenylpyruvate,pyruvate,quinate,ribitol,ribonate,salicylate,serine,succinate,threonate,trans-4-hydroxyproline
121,Type:Control,1230506.0,1124666.0,1655061.0,1148303.0,10012877.0,3764042.0,0.0,247797152.0,36543720.0,1077607.0,4383439.0,12726626.0,2181689856.0,0.0,3909453.0,1769323.0,249763.0,2764579.0,10102360.0,101274448.0,2115726.0,16321284.0,67264728.0,23665984.0,8752032.0,381612.0,1259514.0,192332256.0,39909728.0,52996216.0,4651298.0,890811.0,17902932.0,2356145408.0,9937647.0,1978650.0,116747152.0,1280737.0,10931605.0,745692.0,6120242.0,187444.0,5155233.0,4671934.0,47488668.0,1670010.0,3032530.0,70731984.0,5968313.0,1080494.0,19115464.0,19292312.0,6784850.0,909418.0,23547368.0,16772059.0,1934903.0,3617928.0,1145153.0,476949.0,26701984.0,8445944.0,299299.0,15449500.0,3044069.0,113009624.0,134280816.0,786389440.0,7309440.0
144,Type:Control,664100.0,821760.0,1177850.0,735657.0,8922443.0,2287029.0,288296.0,200089616.0,68088472.0,1848191.0,5176894.0,15778725.0,90145984.0,28875160.0,4846803.0,3712954.0,445743.0,5772918.0,8764283.0,103071608.0,2474211.0,14633205.0,64046148.0,26366210.0,12174081.0,2816351.0,3397255.0,281453600.0,37863328.0,43575556.0,3672593.0,1125646.0,17437830.0,2626251264.0,10716579.0,1943722.0,87737136.0,640182.0,5843620.0,798696.0,8275624.0,1007247.0,6269911.0,4213694.0,41736048.0,803794.0,3249073.0,38128860.0,15511788.0,1218358.0,33302378.0,20153664.0,4758141.0,927465.0,25315202.0,19112508.0,526510.0,2375664.0,1712255.0,992130.0,59386512.0,3012001.0,333726.0,17671886.0,7349910.0,73101888.0,97812272.0,577308480.0,5952733.0
22,Type:Control,468284.0,749969.0,1083062.0,572530.0,8021870.0,2494330.0,109112.0,53206576.0,22648700.0,540377.0,3062390.0,6127753.0,140406800.0,15569394.0,1374380.0,3833073.0,0.0,2502599.0,3064512.0,31970470.0,1497509.0,12225880.0,48935568.0,22952720.0,3117592.0,959279.0,1679599.0,184243040.0,16441547.0,30546228.0,3881418.0,814929.0,9033702.0,2053968256.0,6229716.0,735022.0,101269864.0,636874.0,8091419.0,627684.0,5518429.0,536441.0,2070142.0,3122629.0,34832944.0,467008.0,1978496.0,38557080.0,5203001.0,629163.0,16431399.0,12522343.0,3419022.0,319814.0,14414766.0,11673282.0,1038187.0,1604353.0,462107.0,387961.0,9785887.0,26153824.0,170405.0,12327468.0,4440490.0,54173332.0,116901456.0,977488384.0,3658960.0
25,Type:Control,195737.0,779050.0,1345562.0,870976.0,10034630.0,3729595.0,0.0,311194720.0,41961596.0,1550856.0,6217960.0,7428412.0,590139520.0,0.0,1902468.0,9945869.0,294948.0,2945898.0,5477626.0,54188612.0,1730420.0,11399805.0,53631892.0,21920024.0,4431359.0,1506147.0,1578499.0,185060336.0,14825723.0,42366780.0,4278127.0,0.0,7701477.0,1975972992.0,8071258.0,1170852.0,68741064.0,459985.0,7600231.0,774339.0,0.0,1107770.0,6541550.0,2186121.0,32476968.0,569823.0,1992571.0,41261096.0,4068961.0,740596.0,15795590.0,17928592.0,2911171.0,493710.0,24000736.0,16597249.0,756300.0,2942378.0,656100.0,830236.0,22157164.0,60877644.0,178928.0,15110845.0,755706.0,65977168.0,89826592.0,651152512.0,3002707.0
27,Type:Control,670656.0,3272695.0,2491326.0,1164343.0,10513040.0,3417033.0,0.0,50923164.0,23700320.0,0.0,2582708.0,8089439.0,194665456.0,0.0,1658594.0,0.0,0.0,3218094.0,11170807.0,39569992.0,1955762.0,13348004.0,63896464.0,23754542.0,14398723.0,0.0,2115013.0,236654288.0,22382560.0,18754964.0,2823850.0,0.0,15455429.0,2001105920.0,6139692.0,1025236.0,102024504.0,536798.0,8663490.0,554544.0,11421350.0,0.0,1938647.0,3329625.0,37945596.0,502982.0,2631416.0,14380162.0,3860840.0,1106837.0,29495716.0,17820744.0,4290650.0,435219.0,20993118.0,18644698.0,1902044.0,14638696.0,1563309.0,358874.0,20833968.0,0.0,0.0,18006760.0,8266866.0,84110384.0,99538032.0,599006272.0,6297550.0
4,Type:Control,662506.0,2585564.0,1952973.0,1205053.0,18682432.0,5106103.0,356124.0,100564576.0,47483648.0,0.0,3543676.0,11472785.0,414932160.0,0.0,1844257.0,2544156.0,0.0,4247548.0,3821652.0,61285604.0,2278730.0,13929732.0,74048248.0,30350750.0,2976330.0,1342232.0,3738033.0,292775904.0,40561100.0,29448824.0,8036733.0,0.0,14047279.0,2364772096.0,9323679.0,924884.0,100186784.0,724627.0,11412308.0,669964.0,9264154.0,525441.0,9566289.0,3647840.0,56281228.0,342374.0,2678938.0,21769872.0,6080231.0,689797.0,39326492.0,30104170.0,5610161.0,863317.0,37611348.0,24702206.0,5617831.0,3117910.0,718979.0,442985.0,30893310.0,34903568.0,191862.0,15145131.0,8884487.0,76268752.0,136252720.0,936659264.0,14620223.0
43,Type:Control,373301.0,1215502.0,2367911.0,1378620.0,10052596.0,5347127.0,282136.0,141597952.0,40236116.0,1824429.0,3256972.0,7877970.0,169966560.0,31177652.0,2118203.0,278520.0,0.0,4196682.0,3470196.0,76792488.0,2022297.0,10286223.0,67730584.0,24648758.0,7544585.0,1268381.0,1571508.0,200838944.0,23910366.0,40384928.0,5278423.0,1922882.0,12169366.0,1950786944.0,6902297.0,1091914.0,64341268.0,538947.0,9189608.0,1282529.0,4279966.0,514658.0,5860460.0,2368886.0,25803686.0,298606.0,2028032.0,26509296.0,6879248.0,1061032.0,14821914.0,20965138.0,4681402.0,457614.0,22789096.0,20451708.0,1353251.0,3952746.0,798531.0,893334.0,39121528.0,0.0,292025.0,10858230.0,531262.0,77202504.0,107996208.0,591877120.0,15795579.0
49,Type:Control,675063.0,1462383.0,1795393.0,2304211.0,11295905.0,4555523.0,719874.0,141311312.0,30249298.0,1327410.0,3672754.0,8766387.0,286482176.0,0.0,1849676.0,4770976.0,526325.0,2630160.0,4087755.0,46144680.0,1681109.0,12786008.0,70741616.0,17502424.0,13508817.0,2403075.0,1719434.0,168090800.0,20287970.0,31121196.0,4461256.0,419541.0,8678815.0,2219296000.0,8240427.0,1048797.0,73101296.0,701495.0,7181694.0,835628.0,4614100.0,0.0,5654406.0,2298133.0,40336940.0,637696.0,1904773.0,33320898.0,5070845.0,793460.0,27422582.0,14941324.0,3339380.0,443269.0,14113493.0,15805678.0,581779.0,2521899.0,574746.0,412689.0,19301062.0,8704888.0,159384.0,9052455.0,4809241.0,67691552.0,121338216.0,489610752.0,3717697.0
50,Type:Control,0.0,865747.0,1256800.0,734043.0,12734469.0,4593665.0,0.0,382015616.0,33117032.0,92761.0,8849057.0,13240464.0,4041177088.0,0.0,4460712.0,203565.0,0.0,2400027.0,4139180.0,58957480.0,1523632.0,14974556.0,50173388.0,23944092.0,19127416.0,1063812.0,1921251.0,195654656.0,16405672.0,24794128.0,6960832.0,0.0,5935185.0,2083757184.0,7094872.0,1713935.0,94710400.0,658036.0,6403613.0,392202.0,0.0,941397.0,5330253.0,4002097.0,40691476.0,584344.0,1665338.0,26839474.0,4358741.0,1072077.0,21296272.0,18613576.0,5313954.0,600392.0,19723688.0,12520706.0,460382.0,2151697.0,565354.0,556836.0,22736072.0,7127948.0,203925.0,15544598.0,5103888.0,65524008.0,104486672.0,980239232.0,3820423.0
51,Type:Control,172893.0,1149709.0,1656200.0,983443.0,9980690.0,3800363.0,293853.0,88430320.0,22165228.0,713540.0,4438687.0,5948514.0,1027953408.0,0.0,2900792.0,9994113.0,1171779.0,2102161.0,5533682.0,49470728.0,2712331.0,13609595.0,58006360.0,33669500.0,8476611.0,987993.0,1934319.0,191170752.0,59259060.0,47541972.0,2188530.0,0.0,10822701.0,1905728768.0,9592357.0,1072102.0,74536424.0,1095881.0,10226784.0,1119860.0,7601320.0,449171.0,5135235.0,4132732.0,22497222.0,0.0,2733719.0,36079888.0,6197371.0,1713973.0,12241158.0,16480773.0,3238868.0,563076.0,21817412.0,16756136.0,698274.0,2253150.0,1237128.0,546185.0,22091568.0,48361868.0,223648.0,10495692.0,771971.0,89748840.0,75400608.0,574354112.0,6998099.0
52,Type:Control,243990.0,675442.0,1062841.0,570474.0,14246624.0,4666094.0,853003.0,143223232.0,51477840.0,1724641.0,2668169.0,9370783.0,244265376.0,0.0,1570549.0,0.0,0.0,4175471.0,4714333.0,90899328.0,2451190.0,16530655.0,67842920.0,34914432.0,8464591.0,2144050.0,4327457.0,371633280.0,121585024.0,47449364.0,8544258.0,1638421.0,13613661.0,2490647808.0,9779150.0,2751037.0,118490040.0,1190673.0,20928300.0,812098.0,11156480.0,1000029.0,4961796.0,4324346.0,37394844.0,1463557.0,3359744.0,17275156.0,5653640.0,2755637.0,31665768.0,23888318.0,8041233.0,831002.0,28702258.0,34927112.0,2096413.0,4749123.0,884487.0,388353.0,42070788.0,0.0,212722.0,20979974.0,4541448.0,68071792.0,184147104.0,960516544.0,4408154.0
54,Type:Control,531935.0,2677126.0,2400588.0,950550.0,15904833.0,3771407.0,0.0,123497144.0,41355944.0,987898.0,3678665.0,13546928.0,223929152.0,0.0,3263550.0,978264.0,0.0,4042656.0,4233379.0,80690640.0,2205967.0,10102042.0,76913576.0,29249616.0,18446884.0,2092874.0,2031114.0,205481056.0,46143660.0,23643638.0,5583957.0,799932.0,12792579.0,2362631680.0,8662038.0,1940489.0,95293960.0,584798.0,7565222.0,839041.0,7666832.0,425746.0,4481601.0,3930384.0,45033832.0,268108.0,13653318.0,31882030.0,7131454.0,1132658.0,30579208.0,17308788.0,6459395.0,802949.0,17080396.0,15791914.0,224200.0,2546925.0,458801.0,385768.0,34776140.0,0.0,0.0,8394825.0,23860786.0,89789936.0,158905504.0,808574080.0,8107469.0
59,Type:Control,540621.0,1454886.0,1778513.0,1117290.0,14453735.0,4288121.0,228420.0,289820544.0,55957232.0,2466402.0,4824193.0,11743026.0,862082112.0,0.0,3769625.0,5771533.0,680128.0,4386280.0,7638362.0,80118952.0,2636511.0,14065191.0,61430172.0,24726278.0,31913828.0,1293853.0,1760515.0,253766688.0,25858240.0,30248684.0,4569212.0,981553.0,17453630.0,1901413888.0,9714042.0,1955875.0,90977984.0,386590.0,6874299.0,916337.0,9397859.0,942288.0,3530079.0,3156946.0,61432960.0,536465.0,2564528.0,38864236.0,8571579.0,1312649.0,26034562.0,21768024.0,6471868.0,883339.0,26567418.0,21567354.0,766879.0,2661661.0,1030603.0,503356.0,29059850.0,32384758.0,303508.0,13137860.0,6824697.0,87642320.0,134941264.0,954082624.0,6833292.0
67,Type:Control,1862824.0,1349251.0,1827643.0,1728336.0,10177898.0,4004376.0,4325459.0,145923440.0,45827880.0,0.0,6038260.0,11097101.0,669805568.0,0.0,4748012.0,828142.0,0.0,1603242.0,4038238.0,63433284.0,2505219.0,17007816.0,52399352.0,20125600.0,10732181.0,2014481.0,380071712.0,565821056.0,31486088.0,27015884.0,7514684.0,0.0,7524525.0,1913160320.0,13143902.0,1167287.0,88540264.0,1144221.0,12447906.0,740134.0,0.0,115635.0,5551734.0,3108764.0,55790304.0,0.0,2720513.0,30932698.0,3700438.0,1181209.0,41830308.0,20197432.0,4825481.0,635527.0,22698520.0,12035367.0,3214011.0,3660802.0,542186.0,330307.0,19241620.0,43541640.0,272765.0,9596550.0,9714559.0,63558800.0,136862304.0,794051328.0,5754145.0
