Samples,Class,1_3-Dithiane,1_4-Diguanidinobutane,2-Amino-6-hydroxyaminopurine,2-Hydroxyethanesulfonate,2-Hydroxyfluorene,2-Methacryloyloxyethyl phenyl phosphate,2-Methyl-3-thioacetoxy-4_5-dihydrofuran,3_7_3^_4^-Tetramethylquercetin,3-Hydroxybutyricacid,3-Methylindolepyruvate,3-Vinyl-1_2-dithiacyclohex-5-ene,4-styrenesulfonic acid,5_10-Methylenetetrahydrofolate,5^-Methylthioadenosine,5-Oxoproline,8-Azaguanine,8-Ethyl-11-methyl-2-(4-methyl-5-oxotetrahydro-2-furanyl)dodecahydroazepino[3_2_1-hi]furo[3_2-e]indol-10(2H)-one,AICAR,Alanyltyrosine,Anhydrotetracycline,Balsalazide,Benzylamine,benzylbenzoate,Bergaptol,Beta-Alanine,BiochaninA,Bisphenol A,Chorismate,Clavulanate-9-aldehyde,Creatinine,CYS-GLY,CYSTATHIONINE,CYTIDINE,D-Arabinonate,DEOXYURIDINE-MONOPHOSPHATE,D-Erythrose,D-Fructose,D-Galactonate,Dibekacin,Dihydropteroate,Dihydroxyfumarate,Dinitrosopentamethylenetetramine,Dithranol,D-Ribose,D-Serine,Formononetin,Fumaric acid,Gamma-Aminobutyricacid(GABA),Gluconic acid,Glutaric acid,GLYCERALDEHYDE,GLYCEROL 3-PHOSPHATE,Guanidineacetic acid,Isoliquiritigenin,L-2-Amino-3-oxobutanoic acid,Lamivudine,L-Malic acid,L-Threonic acid,METHIONINE SULFOXIMINE,Methotrexate,Morphinone,N-ACETYLASPARAGINE,N-Acetyl-L-glutamate5-phosphate,N-acetylmuramate6-phosphate,Nicotinate D-ribonucleotide,N-Ribosylnicotinamide,OB4972000,O-Phospho-L-homoserine,Orthophosphate,Oseltamivir,oxiramide,Pederin,p-Fluoropropiophenone,Phenylsilane,Porphyrin,Pyruvic acid,(S)-4-Amino-5-oxopentanoate,SAT,Ser-Ser,Succinic acid,tebuthiuron,Thiamin,Thiolactomycin,Tilnoprofen arbamel,Uridine,Xanthohumol,Xanthone
Blank_01_NEG,group:-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blank_01_POS,group:-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blank_02_NEG,group:-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blank_02_POS,group:-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pooled_QC_ID_01_NEG,group:-,2545352.88,27909.57,482153.24,95642.79,1483686.89,14731.59,275516.9,130585.66,5010362.79,2936797.84,48633.51,29277823.4,10021.41,293206.69,22757674.44,40543.02,2511238.13,26964.02,17420.98,19664.78,275145.54,7565.33,44656.1,39182236.13,975013.92,80409.32,27567.8,65532.29,20838.98,173258.21,1340448.3,29313.57,17312772.04,834311.03,1599887.66,14363224.98,2688195.28,324794.37,54030.92,226415.58,5528883.14,37838.6,80072077.9,19151.56,426980.37,166955.46,2707744.61,134924.23,63012.39,9161686.87,661451968.5,745379.52,1299741.79,892487.37,360703.75,118990.87,3004504.34,4047868.99,7412117.63,22236.04,125274.43,120948.74,12416.46,55657.75,1753711.63,8980456.96,406138.78,34097.62,299357928.5,2709951.35,47697.17,469071.41,1415562.11,490791.49,20342.3,1201520.18,53744.12,44849.42,89477.35,1594118.11,51278.57,23812.57,38639958.92,260952.49,24178.74,20706.02,7819181.57
Pooled_QC_ID_01_POS,group:-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pooled_QC_ID_02_NEG,group:-,2932817.63,92563.51,4460957.19,1172393.37,4926822.08,190954.67,339213.77,878557.4,15970160.11,2804012.83,73711.19,59885065.61,12168.33,308383.87,17854450.15,98765.3,2383562.01,114693.42,16651.72,276724.26,38708227.75,7642.91,630670.68,87949926.89,976972.57,80610.5,233887.88,373381.13,1633183.0,849832.2,1997863.29,8095391.83,1468045.97,1948236.03,2017153.82,20203849.55,3049015.87,673512.55,57153.92,234160.59,4723572.59,1341017.95,101682303.8,209049.04,881928.97,701832.92,1971662.02,383126.47,167492.62,10825550.82,882465828.2,311327.24,718674.55,747280.05,981910.1,416516.85,3047195.21,1533824.6,6728896.08,21691.42,199016.1,801038.78,888447.43,316576.12,16428609.15,2322080.01,904034.68,14848.07,331656809.3,2832451.96,607762.86,382708.7,2240715.08,510251.67,18521.65,1493314.66,99450.14,32836.91,266517.73,3512381.01,215842.56,97594.08,30778786.03,116891.94,1778308.9,17965.17,24139095.72
Pooled_QC_ID_02_POS,group:-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pooled_QC_ID_03_NEG,group:-,2839143.29,40147.65,343882.38,94361.16,1109763.58,14299.45,102014.31,223284.96,5477014.51,2944241.58,29676.35,24826817.63,11437.59,131092.03,8515822.66,55079.65,1386263.11,141403.63,12179.58,9054.13,1589604.46,5678.5,39386.02,24553615.93,429441.71,56108.07,34104.98,51002.23,583259.25,145186.8,1380614.98,30284.86,991601.81,383195.55,2326399.6,20774489.68,1804422.0,68459.83,52009.59,68939.52,6246870.73,66205.61,111899168.2,8575.21,447595.8,110569.6,1876486.66,278615.32,36988.16,12112061.23,415491666.6,102942.16,381557.35,583148.71,1119542.92,254967.73,3181746.72,580102.26,8449150.57,19198.05,33529.75,191747.0,12362.56,62309.13,1073519.18,1019152.75,359713.93,17257.42,106814012.1,2775486.02,172034.73,978292.19,605447.13,593309.17,18376.91,1786800.77,43170.71,34217.0,90655.16,755404.29,35590.51,14331.82,38917359.47,81404.81,46862.08,20266.51,5038131.35
Pooled_QC_ID_03_POS,group:-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
