Samples,Class,1-Methylhistidine,2-Hydroxycinnamic acid,2-Oxindole,3-Phenylpropionitrile,4-Acetamidobutanoic acid,4-Guanidinobutyric acid,4-Hydroxybenzaldehyde,4-Pyridoxic acid,5-Aminovaleric acid,8-Hydroxyquinoline,9-Methyluric acid,Acetylcholine,Acetyl-L-carnitine,Bilirubin,Choline,Cortisol,Creatine,Creatinine,Decanoylcarnitine,D-Erythro-sphingosine 1-phosphate,DL-Arginine,DL-Carnitine,DL-Glutamine,DL-Lysine,DL-Stachydrine,DL-Tryptophan,DL-α-Aminocaprylic acid,D-(+)-Pipecolinic acid,D-(+)-Proline,D-(+)-Pyroglutamic Acid,D-Sphingosine,Hexadecanamide,Hexanoylcarnitine,Hippuric acid,Hypoglycin A,Hypoxanthine,Indole-3-acetic acid,Inosine,L(-)-Carnitine,Leucylproline,L-Histidine,L-Isoleucine,L-Kynurenine,L-(-)-Methionine,L-Norleucine,L(+)-Ornithine,L-Phenylalanine,L-Threonine,L-Tyrosine,L-Tyrosine methyl ester,N8-Acetylspermidine,N-Acetyldopamine,N-Acetyl-L-leucine,N-Acetylornithine,N-Acetylserotonin,Nicotinic acid,Nicotinuric acid,N-Phenylacetylglutamine,Oleamide,Palmitoylcarnitine,Piperine,Pyridoxine,trans-3-Indoleacrylic acid,Trigonelline,Uric acid,Urocanic acid,Valine,α-Aspartylphenylalanine,β-Alanine
C16,Label:Controls,0.0,0.14,0.0,0.03,0.07,0.23,0.03,0.0,1.23,0.03,0.01,0.1,0.46,0.07,0.42,0.01,0.14,0.34,0.01,0.0,0.1,1.65,0.04,0.05,0.18,1.29,0.04,0.07,0.69,0.13,0.0,0.09,0.0,0.01,0.0,0.15,0.0,0.02,0.03,0.08,0.01,1.35,0.03,0.34,3.08,0.01,2.74,0.05,0.93,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.08,0.02,0.85,0.01,0.0,0.0,0.69,0.01,0.02,0.0,0.12,0.0,0.1
C21,Label:Controls,0.04,0.15,0.0,0.04,0.13,0.43,0.03,0.0,1.78,0.03,0.02,0.14,0.78,0.02,0.66,0.01,0.21,1.59,0.03,0.01,0.14,3.17,0.14,0.07,0.92,1.53,0.08,0.08,0.93,0.13,0.0,0.18,0.01,0.0,0.0,0.27,0.0,0.02,0.61,0.08,0.02,1.56,0.03,0.32,3.62,0.01,2.45,0.11,1.08,0.01,0.0,0.02,0.01,0.02,0.01,0.0,0.09,0.02,1.66,0.01,0.0,0.0,0.81,0.01,0.02,0.01,0.09,0.02,0.08
C25,Label:Controls,0.01,0.13,0.01,0.02,0.08,0.24,0.03,0.0,1.66,0.02,0.01,0.1,0.38,0.02,0.52,0.0,0.5,1.33,0.01,0.01,0.06,2.08,0.09,0.11,0.34,1.16,0.03,0.04,1.03,0.11,0.0,0.11,0.0,0.01,0.0,0.21,0.0,0.01,0.64,0.07,0.03,1.05,0.03,0.31,2.6,0.01,2.02,0.06,0.86,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.08,0.05,1.31,0.0,0.0,0.01,0.59,0.1,0.02,0.01,0.07,0.01,0.07
C31,Label:Controls,0.01,0.1,0.0,0.02,0.02,0.17,0.02,0.0,1.19,0.02,0.0,0.1,0.07,0.02,0.66,0.0,0.26,1.25,0.01,0.01,0.09,1.66,0.13,0.06,1.01,0.95,0.01,0.07,1.03,0.11,0.0,0.2,0.0,0.01,0.0,0.12,0.0,0.01,0.56,0.06,0.01,1.11,0.02,0.26,2.36,0.01,1.81,0.05,0.8,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.07,0.03,1.77,0.02,0.0,0.0,0.44,0.05,0.01,0.01,0.06,0.01,0.08
C37,Label:Controls,0.02,0.07,0.0,0.02,0.04,0.12,0.02,0.0,1.77,0.02,0.01,0.15,0.25,0.04,0.75,0.01,0.52,1.45,0.08,0.01,0.14,0.36,0.15,0.17,0.2,1.07,0.03,0.08,0.96,0.07,0.0,0.21,0.01,0.0,0.0,0.11,0.0,0.01,0.84,0.09,0.02,1.59,0.02,0.28,3.52,0.01,1.71,0.06,0.54,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.07,0.02,2.08,0.02,0.01,0.0,0.47,0.04,0.05,0.03,0.11,0.01,0.05
C38,Label:Controls,0.01,0.11,0.0,0.02,0.09,0.23,0.02,0.0,1.36,0.02,0.01,0.09,0.27,0.04,0.42,0.0,0.21,0.2,0.02,0.01,0.12,1.06,0.2,0.07,2.72,1.1,0.02,0.05,1.09,0.11,0.0,0.16,0.0,0.01,0.0,0.07,0.01,0.01,0.37,0.07,0.01,1.28,0.03,0.47,2.66,0.02,2.43,0.08,0.87,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.07,0.05,1.91,0.02,0.01,0.0,0.54,0.21,0.02,0.01,0.04,0.01,0.09
C4,Label:Controls,0.01,0.1,0.0,0.01,0.08,0.11,0.02,0.0,1.48,0.02,0.01,0.14,0.49,0.08,0.53,0.0,0.1,0.32,0.02,0.01,0.09,2.65,0.13,0.05,0.23,1.07,0.01,0.03,1.41,0.12,0.0,0.12,0.0,0.01,0.0,0.3,0.0,0.03,0.27,0.07,0.02,1.05,0.02,0.21,2.79,0.01,1.73,0.03,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.01,1.27,0.01,0.0,0.01,0.53,0.09,0.16,0.0,0.15,0.01,0.06
C40,Label:Controls,0.02,0.19,0.0,0.02,0.03,0.13,0.05,0.0,2.44,0.02,0.01,0.11,0.85,0.02,0.55,0.02,0.55,1.41,0.01,0.01,0.25,3.19,0.17,0.08,0.31,1.41,0.02,0.11,0.94,0.15,0.0,0.21,0.0,0.0,0.0,0.36,0.0,0.01,0.03,0.08,0.05,2.05,0.04,0.41,4.51,0.01,3.01,0.06,1.41,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.08,0.01,2.54,0.01,0.0,0.0,0.69,0.05,0.05,0.0,0.12,0.02,0.08
C45,Label:Controls,0.08,0.09,0.0,0.03,0.1,0.24,0.02,0.0,1.27,0.02,0.02,0.12,0.11,0.07,0.56,0.0,0.16,0.3,0.03,0.01,0.06,1.3,0.21,0.13,2.32,0.95,0.07,0.05,1.18,0.08,0.0,0.24,0.0,0.0,0.0,0.09,0.0,0.02,0.36,0.05,0.01,0.98,0.02,0.28,2.3,0.01,1.62,0.08,0.76,0.0,0.0,0.02,0.02,0.02,0.01,0.0,0.07,0.01,2.37,0.01,0.0,0.0,0.44,0.19,0.01,0.0,0.08,0.0,0.08
C46,Label:Controls,0.01,0.14,0.0,0.02,0.06,0.16,0.03,0.0,1.65,0.02,0.01,0.16,0.46,0.04,0.53,0.0,0.08,0.42,0.01,0.01,0.07,2.71,0.15,0.07,0.36,1.06,0.02,0.11,0.94,0.19,0.0,0.09,0.0,0.03,0.0,0.17,0.0,0.0,0.02,0.09,0.03,1.47,0.03,0.32,3.24,0.01,2.4,0.04,0.91,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.08,0.05,0.93,0.01,0.0,0.0,0.55,0.01,0.05,0.0,0.1,0.05,0.13
