database_identifier,Metabolism,Signal Transduction,Generic Transcription Pathway,Signaling by GPCR,Class A/1 (Rhodopsin-like receptors),Transport of small molecules,GPCR downstream signalling,SLC-mediated transmembrane transport,GPCR ligand binding,Metabolism of amino acids and derivatives,RNA Polymerase II Transcription,Gene expression (Transcription),Group,group_type
COVID_ANN_001,-0.030697310912825085,-0.17656950129477228,0.17136289958236345,-0.17656950129477228,-0.17656950129477228,-0.030697310912825085,-0.17656950129477228,-0.030697310912825085,-0.17656950129477228,-0.030697310912825085,0.17136289958236345,0.17136289958236345,COVID-19,Case
COVID_ANN_002,-0.4994059291908772,-0.4407329450607109,-0.4350603233333761,-0.4407329450607109,-0.4407329450607109,-0.4994059291908772,-0.4407329450607109,-0.4994059291908772,-0.4407329450607109,-0.4994059291908772,-0.4350603233333761,-0.4350603233333761,COVID-19,Case
COVID_ANN_003,-0.5025103527374806,-0.359049129002747,-0.5081956350107882,-0.359049129002747,-0.359049129002747,-0.5025103527374806,-0.359049129002747,-0.5025103527374806,-0.359049129002747,-0.5025103527374806,-0.5081956350107882,-0.5081956350107882,COVID-19,Case
COVID_ANN_004,-0.5615995903755249,-0.4480762624864155,-0.5859687375565773,-0.4480762624864155,-0.4480762624864155,-0.5615995903755249,-0.4480762624864155,-0.5615995903755249,-0.4480762624864155,-0.5615995903755249,-0.5859687375565773,-0.5859687375565773,COVID-19,Case
COVID_ANN_005,-0.5447257825999696,-0.40859184124252623,-0.4186955954694805,-0.40859184124252623,-0.40859184124252623,-0.5447257825999696,-0.40859184124252623,-0.5447257825999696,-0.40859184124252623,-0.5447257825999696,-0.4186955954694805,-0.4186955954694805,COVID-19,Case
COVID_ANN_006,-0.47818303152717584,-0.5454971633598722,-0.5835375615595443,-0.5454971633598722,-0.5454971633598722,-0.47818303152717584,-0.5454971633598722,-0.47818303152717584,-0.5454971633598722,-0.47818303152717584,-0.5835375615595443,-0.5835375615595443,COVID-19,Case
COVID_ANN_007,0.3553913487899742,-0.007192754455947779,-0.1665711142034839,-0.007192754455947779,-0.007192754455947779,0.3553913487899742,-0.007192754455947779,0.3553913487899742,-0.007192754455947779,0.3553913487899742,-0.1665711142034839,-0.1665711142034839,COVID-19,Case
COVID_ANN_008,0.24853570595221924,0.16864028605987394,0.3439273412895636,0.16864028605987394,0.16864028605987394,0.24853570595221924,0.16864028605987394,0.24853570595221924,0.16864028605987394,0.24853570595221924,0.3439273412895636,0.3439273412895636,COVID-19,Case
COVID_ANN_009,-0.5263149382272002,-0.5240586597464042,-0.5055592073060419,-0.5240586597464042,-0.5240586597464042,-0.5263149382272002,-0.5240586597464042,-0.5263149382272002,-0.5240586597464042,-0.5263149382272002,-0.5055592073060419,-0.5055592073060419,COVID-19,Case
COVID_ANN_010,-0.061646891421403525,-0.16380955734622824,0.07179855543593243,-0.16380955734622824,-0.16380955734622824,-0.061646891421403525,-0.16380955734622824,-0.061646891421403525,-0.16380955734622824,-0.061646891421403525,0.07179855543593243,0.07179855543593243,COVID-19,Case
COVID_ANN_011,-0.45866760845741905,-0.49554946287949597,0.007057038490068943,-0.49554946287949597,-0.49554946287949597,-0.45866760845741905,-0.49554946287949597,-0.45866760845741905,-0.49554946287949597,-0.45866760845741905,0.007057038490068943,0.007057038490068943,COVID-19,Case
COVID_ANN_012,0.11040917468666402,0.29499727063981873,0.40174483566835745,0.29499727063981873,0.29499727063981873,0.11040917468666402,0.29499727063981873,0.11040917468666402,0.29499727063981873,0.11040917468666402,0.40174483566835745,0.40174483566835745,COVID-19,Case
COVID_ANN_013,-0.19500774872947046,-0.23539253117551512,0.21631597190526147,-0.23539253117551512,-0.23539253117551512,-0.19500774872947046,-0.23539253117551512,-0.19500774872947046,-0.23539253117551512,-0.19500774872947046,0.21631597190526147,0.21631597190526147,COVID-19,Case
COVID_ANN_014,-0.4244492821915602,-0.44510475959649903,-0.5961415134548926,-0.44510475959649903,-0.44510475959649903,-0.4244492821915602,-0.44510475959649903,-0.4244492821915602,-0.44510475959649903,-0.4244492821915602,-0.5961415134548926,-0.5961415134548926,COVID-19,Case
COVID_ANN_015,0.13244817497025158,0.3661550511901054,-0.16906402767173298,0.3661550511901054,0.3661550511901054,0.13244817497025158,0.3661550511901054,0.13244817497025158,0.3661550511901054,0.13244817497025158,-0.16906402767173298,-0.16906402767173298,COVID-19,Case
COVID_ANN_016,-0.5813290057165013,-0.41275087815679773,-0.35460700711661414,-0.41275087815679773,-0.41275087815679773,-0.5813290057165013,-0.41275087815679773,-0.5813290057165013,-0.41275087815679773,-0.5813290057165013,-0.35460700711661414,-0.35460700711661414,COVID-19,Case
COVID_ANN_017,-0.5822859403301934,-0.3222085388800245,-0.6052181552472048,-0.3222085388800245,-0.3222085388800245,-0.5822859403301934,-0.3222085388800245,-0.5822859403301934,-0.3222085388800245,-0.5822859403301934,-0.6052181552472048,-0.6052181552472048,COVID-19,Case
COVID_ANN_018,-0.3881350924893065,-0.475400873962652,-0.1489814372416523,-0.475400873962652,-0.475400873962652,-0.3881350924893065,-0.475400873962652,-0.3881350924893065,-0.475400873962652,-0.3881350924893065,-0.1489814372416523,-0.1489814372416523,COVID-19,Case
COVID_ANN_019,-0.35169722451751106,-0.16154123653451044,-0.0029581633616301618,-0.16154123653451044,-0.16154123653451044,-0.35169722451751106,-0.16154123653451044,-0.35169722451751106,-0.16154123653451044,-0.35169722451751106,-0.0029581633616301618,-0.0029581633616301618,COVID-19,Case
COVID_ANN_020,0.051407300255778506,-0.3584308651159584,-0.6453155096897797,-0.3584308651159584,-0.3584308651159584,0.051407300255778506,-0.3584308651159584,0.051407300255778506,-0.3584308651159584,0.051407300255778506,-0.6453155096897797,-0.6453155096897797,COVID-19,Case
COVID_ANN_021,-0.510776726028655,-0.4707211358398977,-0.5654856261389356,-0.4707211358398977,-0.4707211358398977,-0.510776726028655,-0.4707211358398977,-0.510776726028655,-0.4707211358398977,-0.510776726028655,-0.5654856261389356,-0.5654856261389356,COVID-19,Case
COVID_ANN_022,0.13672020397984821,-0.5684351112825499,-0.4611008912405404,-0.5684351112825499,-0.5684351112825499,0.13672020397984821,-0.5684351112825499,0.13672020397984821,-0.5684351112825499,0.13672020397984821,-0.4611008912405404,-0.4611008912405404,COVID-19,Case
COVID_ANN_023,0.41903755414945604,0.372066026872735,0.5432155512601561,0.372066026872735,0.372066026872735,0.41903755414945604,0.372066026872735,0.41903755414945604,0.372066026872735,0.41903755414945604,0.5432155512601561,0.5432155512601561,COVID-19,Case
COVID_ANN_024,0.5137575145569252,0.4692010108413355,0.6069210450880506,0.4692010108413355,0.4692010108413355,0.5137575145569252,0.4692010108413355,0.5137575145569252,0.4692010108413355,0.5137575145569252,0.6069210450880506,0.6069210450880506,COVID-19,Case
COVID_ANN_025,-0.4576983658763418,-0.5585390841987893,-0.6449245078792133,-0.5585390841987893,-0.5585390841987893,-0.4576983658763418,-0.5585390841987893,-0.4576983658763418,-0.5585390841987893,-0.4576983658763418,-0.6449245078792133,-0.6449245078792133,COVID-19,Case
COVID_ANN_026,0.5906204677026061,0.29847796862443293,0.4845885638673411,0.29847796862443293,0.29847796862443293,0.5906204677026061,0.29847796862443293,0.5906204677026061,0.29847796862443293,0.5906204677026061,0.4845885638673411,0.4845885638673411,COVID-19,Case
COVID_ANN_027,-0.02834299951922337,-0.018750845964681483,-0.0011248134281141432,-0.018750845964681483,-0.018750845964681483,-0.02834299951922337,-0.018750845964681483,-0.02834299951922337,-0.018750845964681483,-0.02834299951922337,-0.0011248134281141432,-0.0011248134281141432,COVID-19,Case
COVID_ANN_028,0.4831423473669626,0.15708088934687678,0.606491883846482,0.15708088934687678,0.15708088934687678,0.4831423473669626,0.15708088934687678,0.4831423473669626,0.15708088934687678,0.4831423473669626,0.606491883846482,0.606491883846482,COVID-19,Case
COVID_ANN_029,-0.29632269061455374,-0.3877244562788668,-0.18290219230769098,-0.3877244562788668,-0.3877244562788668,-0.29632269061455374,-0.3877244562788668,-0.29632269061455374,-0.3877244562788668,-0.29632269061455374,-0.18290219230769098,-0.18290219230769098,COVID-19,Case
COVID_ANN_030,-0.12712534302307743,-0.000850252895438412,0.0006485827293171427,-0.000850252895438412,-0.000850252895438412,-0.12712534302307743,-0.000850252895438412,-0.12712534302307743,-0.000850252895438412,-0.12712534302307743,0.0006485827293171427,0.0006485827293171427,COVID-19,Case
COVID_ANN_031,0.6136523576636052,0.5743269029243462,0.028395656079952203,0.5743269029243462,0.5743269029243462,0.6136523576636052,0.5743269029243462,0.6136523576636052,0.5743269029243462,0.6136523576636052,0.028395656079952203,0.028395656079952203,COVID-19,Case
COVID_ANN_032,0.33242707014684764,0.41505869709740634,0.2113658062520582,0.41505869709740634,0.41505869709740634,0.33242707014684764,0.41505869709740634,0.33242707014684764,0.41505869709740634,0.33242707014684764,0.2113658062520582,0.2113658062520582,COVID-19,Case
COVID_ANN_033,0.3613356255136287,-0.05737748893073075,0.06693423141368864,-0.05737748893073075,-0.05737748893073075,0.3613356255136287,-0.05737748893073075,0.3613356255136287,-0.05737748893073075,0.3613356255136287,0.06693423141368864,0.06693423141368864,COVID-19,Case
COVID_ANN_034,-0.04542513840325234,-0.07618540473696661,0.2752767871390013,-0.07618540473696661,-0.07618540473696661,-0.04542513840325234,-0.07618540473696661,-0.04542513840325234,-0.07618540473696661,-0.04542513840325234,0.2752767871390013,0.2752767871390013,COVID-19,Case
COVID_ANN_035,0.16748224551331878,0.6416664440809178,0.5870489251227129,0.6416664440809178,0.6416664440809178,0.16748224551331878,0.6416664440809178,0.16748224551331878,0.6416664440809178,0.16748224551331878,0.5870489251227129,0.5870489251227129,COVID-19,Case
COVID_ANN_036,0.42215335955602257,0.6322919869731521,0.1095103306548875,0.6322919869731521,0.6322919869731521,0.42215335955602257,0.6322919869731521,0.42215335955602257,0.6322919869731521,0.42215335955602257,0.1095103306548875,0.1095103306548875,COVID-19,Case
COVID_ANN_037,0.36440959321524957,0.411209453872705,-0.1509901566837965,0.411209453872705,0.411209453872705,0.36440959321524957,0.411209453872705,0.36440959321524957,0.411209453872705,0.36440959321524957,-0.1509901566837965,-0.1509901566837965,COVID-19,Case
COVID_ANN_038,0.3904145996324404,0.16949884315801603,0.20545906457226754,0.16949884315801603,0.16949884315801603,0.3904145996324404,0.16949884315801603,0.3904145996324404,0.16949884315801603,0.3904145996324404,0.20545906457226754,0.20545906457226754,COVID-19,Case
CTR_01,-0.4791270800749823,-0.3736411009584602,-0.3998162563587228,-0.3736411009584602,-0.3736411009584602,-0.4791270800749823,-0.3736411009584602,-0.4791270800749823,-0.3736411009584602,-0.4791270800749823,-0.3998162563587228,-0.3998162563587228,Healthy (control),Control
CTR_02,0.14902058541240928,-0.6049654579974321,-0.17725673193190383,-0.6049654579974321,-0.6049654579974321,0.14902058541240928,-0.6049654579974321,0.14902058541240928,-0.6049654579974321,0.14902058541240928,-0.17725673193190383,-0.17725673193190383,Healthy (control),Control
CTR_03,-0.3549296316459487,-0.06234591225387575,0.07018445068635876,-0.06234591225387575,-0.06234591225387575,-0.3549296316459487,-0.06234591225387575,-0.3549296316459487,-0.06234591225387575,-0.3549296316459487,0.07018445068635876,0.07018445068635876,Healthy (control),Control
CTR_04,-0.011734270666337311,0.04451489938175592,0.16213052858316526,0.04451489938175592,0.04451489938175592,-0.011734270666337311,0.04451489938175592,-0.011734270666337311,0.04451489938175592,-0.011734270666337311,0.16213052858316526,0.16213052858316526,Healthy (control),Control
CTR_05,0.6429735283763809,0.5142080442287731,0.5847438212061702,0.5142080442287731,0.5142080442287731,0.6429735283763809,0.5142080442287731,0.6429735283763809,0.5142080442287731,0.6429735283763809,0.5847438212061702,0.5847438212061702,Healthy (control),Control
CTR_06,0.5631004866628707,0.643256236256089,0.5611711654362089,0.643256236256089,0.643256236256089,0.5631004866628707,0.643256236256089,0.5631004866628707,0.643256236256089,0.5631004866628707,0.5611711654362089,0.5611711654362089,Healthy (control),Control
