database_identifier,Transmission across Chemical Synapses,Neuronal System,Developmental Biology,Aerobic respiration and respiratory electron transport,Metabolism,Phase II - Conjugation of compounds,Metabolism of nucleotides,Sulfur amino acid metabolism,Signal Transduction,Disease,Innate Immune System,Immune System,Toll-like Receptor Cascades,Metabolism of steroid hormones,Nicotinate metabolism,Metabolism of water-soluble vitamins and cofactors,Metabolism of vitamins and cofactors,Nicotinamide salvaging,Metabolism of amine-derived hormones,Biological oxidations,Cytochrome P450 - arranged by substrate type,Phase I - Functionalization of compounds,Miscellaneous substrates,Endogenous sterols,Xenobiotics,Generic Transcription Pathway,Abacavir ADME,Abacavir metabolism,Visual phototransduction,Cellular responses to stress,"Metabolism of ingested SeMet, Sec, MeSec into H2Se",Selenoamino acid metabolism,The canonical retinoid cycle in rods (twilight vision),Peptide hormone metabolism,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand,Metabolism of polyamines,Signaling by GPCR,Class A/1 (Rhodopsin-like receptors),Olfactory Signaling Pathway,Transport of small molecules,GPCR downstream signalling,Metabolism of proteins,G alpha (s) signalling events,G alpha (i) signalling events,"Transport of bile salts and organic acids, metal ions and amine compounds",Transport of inorganic cations/anions and amino acids/oligopeptides,"Transport of vitamins, nucleosides, and related molecules",SLC-mediated transmembrane transport,Proton-coupled monocarboxylate transport,GPCR ligand binding,Diseases of Immune System,Signaling by Retinoic Acid,RA biosynthesis pathway,Organic cation/anion/zwitterion transport,Metabolism of lipids,Metabolic disorders of biological oxidation enzymes,Diseases associated with the TLR signaling cascade,Organic anion transport,Defective SLC29A3 causes histiocytosis-lymphadenopathy plus syndrome (HLAS),Defective SLC16A1 causes symptomatic deficiency in lactate transport (SDLT),SLC transporter disorders,Disorders of transmembrane transporters,Infectious disease,Diseases of metabolism,Surfactant metabolism,Regulation of TLR by endogenous ligand,Post-translational protein modification,tRNA modification in the nucleus and cytosol,Metabolism of fat-soluble vitamins,Pyruvate metabolism,Tryptophan catabolism,Metabolism of amino acids and derivatives,tRNA processing,Pyrimidine salvage,Pyrimidine catabolism,RNA Polymerase II Transcription,Base Excision Repair,DNA Repair,Gene expression (Transcription),Purine salvage,Purine catabolism,Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane,Transcriptional regulation by RUNX2,Metabolism of RNA,Cellular responses to stimuli,Nucleotide catabolism,Nucleotide salvage,Metabolism of steroids,Signaling by Nuclear Receptors,Signaling by TGFB family members,FOXO-mediated transcription,Vitamin B6 activation to pyridoxal phosphate,Sensory Perception,Nucleotide salvage defects,Defective HPRT1 disrupts guanine and hypoxanthine salvage,Defective PNP disrupts phosphorolysis of (deoxy)guanosine and (deoxy)inosine,Nucleotide catabolism defects,Diseases of nucleotide metabolism,Drug ADME,Aspirin ADME,Retinoid metabolism and transport,Defective regulation of TLR7 by endogenous ligand,Group,group_type
S00001166,0.18789388434872337,0.18789388434872337,-0.04812974395587674,0.26328436354619617,-0.05838895146729011,0.3504808828556064,-0.07489217073146592,-0.16447358585514035,0.2113745339617546,-0.3383801702401324,0.012433589494825398,0.012433589494825398,0.012433589494825398,-0.0010670677165043095,0.26328436354619617,0.353975535823202,0.00691153036810626,0.26328436354619617,-0.632662087259591,0.06310740725219842,-0.18994364628732793,-0.18589896532214772,0.04094197231853047,0.279284018328223,-0.18129223994063218,0.2080799849627825,-0.5810472991825201,-0.5810472991825201,0.2607790237015065,0.1625429738254836,-0.28661417594275007,-0.28661417594275007,-0.4163965833236125,0.015972906588322577,-0.0010670677165043095,0.26185766244140707,0.2421269285867842,0.1881449079062329,0.039043576006690325,-0.2659300085068898,0.11823010293085193,0.3246300897951746,0.3010562971485911,-0.11386320107260171,-0.02077070561800774,0.1449928697278742,0.46204315024406245,-0.2659300085068898,0.07635202418395884,0.2421269285867842,0.012433589494825398,0.11164493839173266,0.11164493839173266,0.2064276124222574,0.1817160932105844,-0.3606076955856364,0.012433589494825398,-0.006816358065504057,-0.04439232333189827,0.07635202418395884,-0.3674419075796484,-0.3674419075796484,-0.28661417594275007,-0.1909418492936964,-0.5810472991825201,0.012433589494825398,0.26008954650112376,0.2390104854371283,0.5051703005881465,0.26328436354619617,0.38959787023045533,-0.2805179925022512,0.2390104854371283,0.4648223988749094,0.4648223988749094,0.2080799849627825,-0.5185523855327621,0.5083884463969098,0.2080799849627825,-0.4505669372606234,-0.28934905905135294,0.5135341357793111,-0.0010670677165043095,0.2390104854371283,0.1625429738254836,-0.07489217073146592,-0.17304189919148494,0.16173460662523434,0.11164493839173266,-0.04812974395587674,0.29509968587583735,0.7267869757410567,0.3016526623685791,0.48346406744840403,-0.4747498607185457,-0.16803146213687936,-0.16803146213687936,-0.4505669372606234,-0.14946420313715975,0.07635202418395884,0.2607790237015065,0.012433589494825398,Group:Control,Control
S00001173,-0.2916083674197106,-0.2916083674197106,0.5833372344348633,0.2405852730419254,0.20519690785605432,-0.41501658920192247,-0.45133855542904616,0.36903532153550106,0.02434917797520712,0.18525230439324564,-0.5377061092798973,-0.5377061092798973,-0.5377061092798973,0.0438159987487132,0.2405852730419254,0.39245385826924833,0.2877518783728909,0.2405852730419254,-0.5942674289922418,-0.2829066295647856,-0.14049415077249386,-0.03440867705653203,-0.5913612914136196,0.18778369865353373,-0.570569134712735,-0.17477143853455687,-0.657457434401261,-0.657457434401261,-0.49599968327253313,-0.10835755809584988,-0.35842843126698914,-0.35842843126698914,-0.07654236849151325,-0.3558559616228174,0.0438159987487132,-0.3998106971686691,0.12161894375460591,0.18425953711646242,0.294164744457021,0.11303872691584084,0.09153902074233662,0.27021119254221776,-0.38525239934815925,0.13958893083679066,0.30809592526282426,0.26063599541499377,-0.03570991739816989,0.11303872691584084,0.2529256099005558,0.12161894375460591,-0.5377061092798973,-0.5835463666252052,-0.5835463666252052,-0.02260884917034804,-0.1973431111950658,0.47683266201450775,-0.5377061092798973,0.14192940238730817,0.4128063980664568,0.2529256099005558,0.11455626941436163,0.11455626941436163,-0.35842843126698914,-0.21929782748601975,-0.657457434401261,-0.5377061092798973,0.02083347128385549,-0.41125322997750563,-0.5223744784630279,0.2405852730419254,0.6917494760721629,-0.17501061151602754,-0.41125322997750563,-0.6405480274713282,-0.6405480274713282,-0.17477143853455687,0.6337873853428395,-0.4770861784915152,-0.17477143853455687,-0.30698097929154605,-0.3208168185679741,-0.2006751435737997,0.0438159987487132,-0.41125322997750563,-0.10835755809584988,-0.45133855542904616,0.3656241541736285,-0.08139581222842308,-0.5835463666252052,0.5833372344348633,-0.17354535648742184,0.748792448590911,-0.13948961753903927,-0.5130394627293984,0.6241319191070265,-0.5200615305182344,-0.5200615305182344,-0.30698097929154605,0.14354129969383936,0.2529256099005558,-0.49599968327253313,-0.5377061092798973,Group:Control,Control
S00001167,0.18360050267179856,0.18360050267179856,0.5180559947157916,-0.46444266377118726,0.16719929354648316,-0.1557131443236599,-0.06523060776620476,0.5471124218576361,-0.0024398185694672146,0.017419837201991414,-0.4390791640592936,-0.4390791640592936,-0.4390791640592936,-0.07772852438062446,-0.46444266377118726,-0.3127247612050791,0.15189251825687494,-0.46444266377118726,0.22559862096656425,0.27886803943803384,0.16851362643000814,0.30899959365955065,-0.2166662685364627,-0.3196824184125201,0.3608495324950742,-0.1295265381560565,0.22139225054156864,0.22139225054156864,-0.2578481951209629,0.28906744554148367,-0.468789748575519,-0.468789748575519,-0.4520679294234942,0.02532033508715629,-0.07772852438062446,-0.24432132957633157,-0.44150354494071653,-0.4923756635109812,-0.2395457890000809,0.2301350376696076,-0.30343608885686607,0.14162504631716472,-0.49637139044470163,0.5649922206550152,0.5335845989347578,-0.4294075868354571,0.3087517897351824,0.2301350376696076,0.791537950865477,-0.44150354494071653,-0.4390791640592936,-0.252236704476418,-0.252236704476418,-0.15474864132052857,-0.33839270187094755,0.7233599091327768,-0.4390791640592936,-0.2200629205855338,-0.28995643523174053,0.791537950865477,0.1740300901915868,0.1740300901915868,-0.468789748575519,-0.3436080453728252,0.22139225054156864,-0.4390791640592936,-0.3076627899348988,-0.07274740703883428,-0.3677465423991759,-0.46444266377118726,-0.4738531332422058,0.2864360577696925,-0.07274740703883428,-0.13095707404189608,-0.13095707404189608,-0.1295265381560565,-0.5476953302106422,0.4540652119405023,-0.1295265381560565,-0.1510229433465496,-0.05760304617698009,0.3226635591175782,-0.07772852438062446,-0.07274740703883428,0.28906744554148367,-0.06523060776620476,0.031339309310899836,-0.05574370679002396,-0.252236704476418,0.5180559947157916,0.6110138664402198,-0.03254992888589121,-0.33264509294923417,0.13547226566862536,-0.1468942381308029,-0.21790227368449014,-0.21790227368449014,-0.1510229433465496,0.5803009422456354,0.791537950865477,-0.2578481951209629,-0.4390791640592936,Group:Control,Control
S00001174,-0.5715568466082142,-0.5715568466082142,0.320214944681822,-0.3306938450778193,-0.10735928735508275,-0.5023426497371335,-0.24156635533443546,-0.6222934441679353,0.22814977023907138,-0.2810515826360267,-0.3086979670484301,-0.3086979670484301,-0.3086979670484301,-0.3190902885320164,-0.3306938450778193,-0.14649762864911006,-0.10573595675405979,-0.3306938450778193,0.06143049865730021,0.4616013718802846,0.06251761760737666,0.3522666976246992,-0.4287019891076159,-0.34857089039206873,-0.5314856163546353,0.11895706731926914,-0.3432394591314077,-0.3432394591314077,-0.49776751424038335,0.1905767740804804,-0.5019778326371109,-0.5019778326371109,0.47393040576442635,-0.560724339684648,-0.3190902885320164,-0.0925859551328051,0.008444339898411358,-0.04973226527611576,-0.49876089625338543,-0.07721759070369998,-0.47063699311048285,-0.28775607882419924,-0.5209495727456566,-0.35199797730477345,0.058235390742929355,-0.246916609310343,-0.1503297676731983,-0.07721759070369998,-0.18887070855263197,0.008444339898411358,-0.3086979670484301,-0.431900032858431,-0.431900032858431,0.10538075303920352,-0.3040420889273497,-0.1690902208258928,-0.3086979670484301,-0.20363638560800834,0.5047436113514355,-0.18887070855263197,-0.17241066022055584,-0.17241066022055584,-0.5019778326371109,0.3216400560511458,-0.3432394591314077,-0.3086979670484301,0.6974197734405174,0.751159776437988,-0.06502655131091689,-0.3306938450778193,0.604511068439714,0.006121528716126284,0.751159776437988,-0.40531373628394307,-0.40531373628394307,0.11895706731926914,0.5004379789610046,-0.4010915632357778,0.11895706731926914,-0.058863067260081406,0.05321406087732464,-0.27902861101224313,-0.3190902885320164,0.751159776437988,0.1905767740804804,-0.24156635533443546,0.2724345395768279,-0.22955665129679723,-0.431900032858431,0.320214944681822,0.5977344967155633,0.5239114952814562,0.10072449568702586,-0.33907056969619864,0.3949144773584147,-0.3809484530634734,-0.3809484530634734,-0.058863067260081406,-0.34238837630972796,-0.18887070855263197,-0.49776751424038335,-0.3086979670484301,Group:Control,Control
S00001168,-0.04284835817380767,-0.04284835817380767,0.19536975104972432,-0.5764734219349484,0.25250240193979717,-0.2565579381463763,0.05112981995511061,0.1861121338894345,-0.024206849915903623,0.004628646730219131,-0.2347188598618828,-0.2347188598618828,-0.2347188598618828,-0.2121557728301784,-0.5764734219349484,0.09576978487405056,0.13399496780215442,-0.5764734219349484,0.17255760723987304,-0.06928995237781399,-0.3419709899426246,-0.21894239107621305,-0.02611688436702326,0.0031627642431394853,-0.19384291368283377,-0.12011038811182684,0.6171125713947762,0.6171125713947762,-0.3972810601854342,-0.21764099123608333,-0.5109627513393704,-0.5109627513393704,0.7135730086631935,0.10931322582488967,-0.2121557728301784,-0.30036209922388135,-0.11570160388966519,-0.04420239809976875,0.10153099878806213,0.21502382356551245,-0.02495035555117286,0.03484662521530853,0.3191341011234781,-0.34184851188008036,0.2879289173608818,-0.4743420135992399,-0.2507854607652242,0.21502382356551245,-0.39097154101719706,-0.11570160388966519,-0.2347188598618828,-0.23143699846609728,-0.23143699846609728,-0.05631856437499959,-0.10155971102786505,-0.3102561721453999,-0.2347188598618828,0.12045991619355219,0.3368868344571032,-0.39097154101719706,0.1065485783531755,0.1065485783531755,-0.5109627513393704,0.10702864923350615,0.6171125713947762,-0.2347188598618828,-0.4064138115972447,-0.02777549503729159,-0.4010305534316228,-0.5764734219349484,0.004712733410219428,0.2926488455992465,-0.02777549503729159,-0.4659927365996767,-0.4659927365996767,-0.12011038811182684,-0.458423134397492,0.48192235994000354,-0.12011038811182684,0.06600322825648691,0.008460662243131866,-0.2197868050624511,-0.2121557728301784,-0.02777549503729159,-0.21764099123608333,0.05112981995511061,0.29972442532169524,-0.3040500637337887,-0.23143699846609728,0.19536975104972432,-0.3821093298914792,0.7324958650386351,-0.27454062717983363,0.5418434893094116,-0.5454840053239667,0.22160842508448636,0.22160842508448636,0.06600322825648691,-0.04050589669667723,-0.39097154101719706,-0.3972810601854342,-0.2347188598618828,Group:Control,Control
S00001175,0.6919599982981355,0.6919599982981355,-0.5276742978625288,0.504614247175887,0.1926217817312923,0.23149175395263807,0.16778126461703477,-0.15772014957131233,0.45800368581950873,-0.011655935340271829,0.35667442159789287,0.35667442159789287,0.35667442159789287,-0.5047949354500897,0.504614247175887,0.5005697740200258,0.27775282271615576,0.504614247175887,-0.42956124924701944,0.3802059786197098,0.08983049402582083,0.35749874473242493,-0.21644246636644124,-0.4307692096934468,-0.5537719328714032,-0.29133083074044946,0.14459457793846694,0.14459457793846694,0.15467483672443805,-0.5351965532326096,0.47616297378741085,0.47616297378741085,-0.5238481955288804,0.5585562523851326,-0.5047949354500897,0.27716668841221687,-0.15421736905695216,-0.22682278191021854,-0.3938857441242739,0.04553488811862378,-0.12943881304270147,0.1406169728494152,-0.42161011800936143,-0.29508275663066297,0.09472043998918761,0.426172806587397,0.007763109704493455,0.04553488811862378,-0.3114270493240174,-0.15421736905695216,0.35667442159789287,-0.13118978874039397,-0.13118978874039397,0.09736321450206935,-0.3431907881992857,-0.2017020914096856,0.35667442159789287,-0.37952732094083175,-0.46402677587495295,-0.3114270493240174,-0.10697584473302064,-0.10697584473302064,0.47616297378741085,0.36268190870509215,0.14459457793846694,0.35667442159789287,-0.06594126291406306,0.05510570538095755,0.06572087815592335,0.504614247175887,-0.631439602389442,-0.042174323803218415,0.05510570538095755,0.6467261177690636,0.6467261177690636,-0.29133083074044946,0.20774159162121497,-0.16041931233994092,-0.29133083074044946,0.26130510184586697,0.06976033667594757,0.057649361254217824,-0.5047949354500897,0.05510570538095755,-0.5351965532326096,0.16778126461703477,-0.33073320363319536,-0.423192940121465,-0.13118978874039397,-0.5276742978625288,-0.4541371300157568,0.7374924229408565,0.42975167967071864,-0.1368866410611537,0.2233426452669147,0.32934339160706794,0.32934339160706794,0.26130510184586697,-0.427717995252318,-0.3114270493240174,0.15467483672443805,0.35667442159789287,Group:Control,Control
S00001169,0.358036474298683,0.358036474298683,0.646129219067558,-0.4370393143707883,0.3248928528380628,-0.5584441283363958,0.04437745523595729,0.6914698654242327,0.40003547545067597,0.1014257944297548,0.44530318795644674,0.44530318795644674,0.44530318795644674,-0.4197946014050893,-0.4370393143707883,0.38138678112082575,0.35398719058729755,-0.4370393143707883,-0.6014172231905289,-0.19543390811894132,-0.4176214413114503,-0.04154158806601311,-0.4021366797982236,-0.3345764250708353,-0.08072365422445184,-0.433551551277236,0.6097711766918084,0.6097711766918084,-0.14573652487467448,-0.33687742088730205,-0.45898457539777554,-0.45898457539777554,-0.5186407676118967,0.12842328393266303,-0.4197946014050893,-0.40928777628247687,0.04412690266816013,-0.34518544501411086,-0.1518576834269545,0.1862389688875204,0.056477491958783016,-0.0037567148696994457,-0.21725032409289807,-0.5270964328359232,-0.06989751343820602,-0.45989156536312625,-0.17025159475769996,0.1862389688875204,-0.35189137943311816,0.04412690266816013,0.44530318795644674,-0.4121617376271518,-0.4121617376271518,0.012445785312730566,-0.341585687614841,0.4677644071571702,0.44530318795644674,-0.3166915744250022,-0.20703594738699074,-0.35189137943311816,0.23273345294100375,0.23273345294100375,-0.45898457539777554,-0.2722885705904628,0.6097711766918084,0.44530318795644674,-0.5966768924488408,-0.539711661375525,-0.38242870357061365,-0.4370393143707883,-0.5640616657010754,-0.0780820258843161,-0.539711661375525,-0.5293800622182623,-0.5293800622182623,-0.433551551277236,-0.5862560902057304,0.6160749616651593,-0.433551551277236,0.38618635847336963,0.3909281400439536,-0.19149523999506934,-0.4197946014050893,-0.539711661375525,-0.33687742088730205,0.04437745523595729,0.18243552656129192,-0.5563358568530902,-0.4121617376271518,0.646129219067558,-0.09466182465707138,0.2746652997066792,0.31422290928415325,0.6388150889527333,-0.6374291586934215,0.621791037041254,0.621791037041254,0.38618635847336963,0.23623424288213088,-0.35189137943311816,-0.14573652487467448,0.44530318795644674,Group:Control,Control
S00001176,0.5968092135427804,0.5968092135427804,-0.2419045300334971,0.42934771890226286,0.22184997744339932,-0.5433318642635351,-0.37369365880683897,-0.158237259084576,0.0787827607332211,0.18977242961781463,-0.15726856581096332,-0.15726856581096332,-0.15726856581096332,0.212956563217074,0.42934771890226286,0.588386523736542,0.3035326067506547,0.42934771890226286,-0.15226371886144532,-0.11576941591912149,-0.04427032663185547,0.019495394420245945,0.35779842337241735,-0.43714626001861034,0.16712582485222163,-0.15287691600078498,-0.6517436786371225,-0.6517436786371225,0.42138588013684747,-0.13244059235486544,0.5520799162773881,0.5520799162773881,-0.45494368818290926,0.5227357934264331,0.212956563217074,0.33494273736867985,-0.23663538879763227,-0.32547328856278235,-0.11978696112612829,-0.06480057913605827,-0.03742594718944547,0.2846735621590219,-0.3822786357176981,-0.47081755724650987,0.401741953625369,-0.4876076538114727,0.38567484542916175,-0.06480057913605827,0.7898303877576405,-0.23663538879763227,-0.15726856581096332,0.30010851289294815,0.30010851289294815,-0.15871850562751258,-0.17423870512633374,0.42220521321948884,-0.15726856581096332,-0.11480300735260636,0.4347370832372109,0.7898303877576405,0.09893868433217033,0.09893868433217033,0.5520799162773881,-0.32100657859045706,-0.6517436786371225,-0.15726856581096332,-0.05781173409453111,0.057340457921513016,0.2158876966230228,0.42934771890226286,-0.12654600411006095,0.1905040916039215,0.057340457921513016,-0.5955218196791583,-0.5955218196791583,-0.15287691600078498,0.09333108860146498,-0.06663449906188171,-0.15287691600078498,-0.5087245879656989,-0.4559984227807537,0.24040873868855767,0.212956563217074,0.057340457921513016,-0.13244059235486544,-0.37369365880683897,0.4703240584474182,0.07805885614884071,0.30010851289294815,-0.2419045300334971,-0.26635164841925024,0.45160711298524014,0.5496545419404559,0.6221438876894629,-0.6524919941583934,-0.33235813793486546,-0.33235813793486546,-0.5087245879656989,0.34444173800442407,0.7898303877576405,0.42138588013684747,-0.15726856581096332,Group:Control,Control
S00001170,-0.3780902251364982,-0.3780902251364982,-0.40754939940882845,0.6720934884929325,0.36683494882457207,0.7603735978957639,0.58667872975741,-0.597853780051741,-0.0035619940195429525,0.5408483997863205,0.5879873619023442,0.5879873619023442,0.5879873619023442,-0.3876241069235242,0.6720934884929325,0.3064564382585285,0.39781630597433704,0.6720934884929325,-0.5723169386416251,-0.3550707319690294,-0.3850394446613728,-0.4841187739540202,-0.4483306931687933,0.5397141937244394,-0.530360246384618,-0.3196094132555671,0.5649544363380803,0.5649544363380803,-0.40941438393142726,-0.39796223669840264,0.7068346416699512,0.7068346416699512,0.5173186722249483,-0.14139911655603063,-0.3876241069235242,0.6561063343451132,0.06495249980283728,0.1895916955623392,-0.08360035670568294,0.529172411660706,0.1883681167795012,-0.47385211492401846,0.5863328852617923,-0.23864818239096156,0.5296913413063448,0.7156939535329139,-0.42987944972714304,0.529172411660706,0.8193772060026021,0.06495249980283728,0.5879873619023442,-0.4012544145270831,-0.4012544145270831,-0.46663275542459276,-0.029439676233220774,-0.15318475062204429,0.5879873619023442,0.5739855449590663,-0.46587684154683745,0.8193772060026021,0.5473473569588941,0.5473473569588941,0.7068346416699512,0.24850815789648814,0.5649544363380803,0.5879873619023442,0.6543158319859405,0.7356032233381802,-0.38659875586787906,0.6720934884929325,-0.6209348087678691,-0.37587448858544004,0.7356032233381802,0.5537367672099807,0.5537367672099807,-0.3196094132555671,0.3250026269356201,-0.314173763690435,-0.3196094132555671,0.5661894553945287,0.580524732166697,-0.20690259051501347,-0.3876241069235242,0.7356032233381802,-0.39796223669840264,0.58667872975741,-0.36166616024165815,0.10338169929939417,-0.4012544145270831,-0.40754939940882845,-0.2809026493440917,-0.23452598029271118,-0.3196216261730448,-0.2682752997402108,0.32912990430488664,0.5848055282865547,0.5848055282865547,0.5661894553945287,0.6347769570727555,0.8193772060026021,-0.40941438393142726,0.5879873619023442,Group:Control,Control
S00001177,0.006220392823991449,0.006220392823991449,0.02343380610504998,0.24439191926080742,0.22590394381550216,0.09264080682488093,0.5673223111334162,-0.38883890431762397,-0.1250610325833109,0.43731071058063625,0.5962978629683605,0.5962978629683605,0.5962978629683605,0.5421880253618065,0.24439191926080742,0.23576118081636777,0.37760979389353555,0.24439191926080742,-0.5532730586362941,-0.1785837953125267,-0.00026994066440237446,-0.09291505655293925,0.11031770811348653,0.3504677782022797,0.5898919298597004,-0.016808815686335434,0.18537346265393004,0.18537346265393004,-0.10099426914562375,0.38377873999205675,0.39342496802231214,0.39342496802231214,-0.5704237095865873,0.4196287393474315,0.5421880253618065,0.670501902997849,-0.15096663020652829,-0.24806783802425147,0.7312448836334215,0.26730748124451414,0.020110677453454524,-0.4599363717092046,0.11999048442168983,0.049752379800141466,0.049217906165584024,0.7313122183609386,-0.28918506404916594,0.26730748124451414,0.21626010955328956,-0.15096663020652829,0.5962978629683605,0.07126256511719911,0.07126256511719911,-0.4356910250359962,0.026036364272575913,0.5055451128331806,0.5962978629683605,0.7119553807324901,-0.4163770420718379,0.21626010955328956,0.38086351662600754,0.38086351662600754,0.39342496802231214,-0.20525828115335565,0.18537346265393004,0.5962978629683605,0.5922371931273982,0.7112125151425701,-0.23576631918663724,0.24439191926080742,-0.6252344580406309,-0.4118289723621692,0.7112125151425701,0.6597911174793424,0.6597911174793424,-0.016808815686335434,0.525432603892399,-0.4110019769118904,-0.016808815686335434,0.5037995235678592,0.47344555804548843,-0.12209406367018401,0.5421880253618065,0.7112125151425701,0.38377873999205675,0.5673223111334162,-0.38302960178948975,0.563770929527879,0.07126256511719911,0.02343380610504998,0.19439324888570758,0.33970713149875265,-0.26810800187092787,-0.40395269956257146,0.5451345002034997,0.4766883308926379,0.4766883308926379,0.5037995235678592,0.21001900618763003,0.21626010955328956,-0.10099426914562375,0.5962978629683605,Group:Control,Control
