database_identifier,Neurotransmitter release cycle,Transmission across Chemical Synapses,Neuronal System,Developmental Biology,RORA activates gene expression,"BMAL1:CLOCK,NPAS2 activates circadian gene expression",Metabolism,Mitochondrial biogenesis,Signal Transduction,Integration of energy metabolism,Disease,Regulation of cholesterol biosynthesis by SREBP (SREBF),Organelle biogenesis and maintenance,Nicotinate metabolism,Metabolism of water-soluble vitamins and cofactors,Metabolism of vitamins and cofactors,Nicotinamide salvaging,PPARA activates gene expression,Carnitine shuttle,alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,Biological oxidations,Phase I - Functionalization of compounds,Transcriptional activation of mitochondrial biogenesis,Visual phototransduction,Cellular responses to stress,Activation of gene expression by SREBF (SREBP),The canonical retinoid cycle in rods (twilight vision),Peptide hormone metabolism,Hydroxycarboxylic acid-binding receptors,Signaling by GPCR,Class A/1 (Rhodopsin-like receptors),Transcriptional regulation of white adipocyte differentiation,Olfactory Signaling Pathway,"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)",Transport of small molecules,GPCR downstream signalling,Beta-oxidation of pristanoyl-CoA,Peroxisomal lipid metabolism,Metabolism of proteins,Regulation of lipid metabolism by PPARalpha,Circadian Clock,Free fatty acids regulate insulin secretion,"Incretin synthesis, secretion, and inactivation","Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)",G alpha (q) signalling events,G alpha (i) signalling events,Regulation of insulin secretion,"Transport of bile salts and organic acids, metal ions and amine compounds",Transport of inorganic cations/anions and amino acids/oligopeptides,"Transport of vitamins, nucleosides, and related molecules",SLC-mediated transmembrane transport,Multifunctional anion exchangers,Organic anion transporters,Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion,Free fatty acid receptors,GPCR ligand binding,Organic cation/anion/zwitterion transport,Metabolism of lipids,SLC transporter disorders,Defective SLC27A4 causes ichthyosis prematurity syndrome (IPS),Disorders of transmembrane transporters,Metabolism of fat-soluble vitamins,Tryptophan catabolism,Metabolism of amino acids and derivatives,Metabolism of carbohydrates,Transport of fatty acids,Cellular responses to stimuli,Metabolism of steroids,Fatty acid metabolism,Cytoprotection by HMOX1,Heme signaling,Sensory Perception,Cellular response to chemical stress,Sensory perception of taste,Retinoid metabolism and transport,Adipogenesis,Group,group_type
G1,-0.43404275559122285,-0.30028845311200786,-0.30028845311200786,0.3737613940100872,0.3737613940100872,0.3737613940100872,0.0650002186765617,0.3737613940100872,0.49299133983389165,-0.27519347774663294,0.17345418970653587,0.3737613940100872,0.3737613940100872,0.0018284603010004714,0.0018284603010004714,-0.3981262191727631,0.0018284603010004714,0.3737613940100872,-0.39501385005101525,0.3737613940100872,-0.1882027805934322,0.23913864511829258,0.3737613940100872,0.4920270826438652,0.3737613940100872,0.3737613940100872,0.4920270826438652,0.6493974967732036,-0.42999807096676707,0.49299133983389165,0.5284155017992286,0.3737613940100872,0.29137354001449217,0.6628527944552823,0.005606909542181261,0.49299133983389165,-0.10889985421083728,-0.10889985421083728,0.6544820396876866,0.3737613940100872,0.3737613940100872,-0.27519347774663294,0.6628527944552823,-0.27519347774663294,0.6470010842907764,0.37769517131192376,-0.27519347774663294,-0.468434892470894,0.03695757985654639,0.6400889091227074,0.005606909542181261,-0.3415293016770571,0.0018284603010004714,-0.27519347774663294,0.6470010842907764,0.49299133983389165,-0.468434892470894,0.5258777452809794,-0.2287298649984153,0.6077487857908684,-0.24676158686831118,0.4920270826438652,0.3249508234248367,-0.08108441814922959,-0.6002498544235811,0.6077487857908684,0.3737613940100872,0.4977279702895199,0.6233929045987093,0.3737613940100872,0.3737613940100872,-0.28170464822728797,0.3737613940100872,-0.11921908682914936,0.4920270826438652,0.3737613940100872,Group:CA,Case
G11,0.5903465695524496,0.37258565235693586,0.37258565235693586,-0.5600130747791003,-0.5600130747791003,-0.5600130747791003,-0.29159786596506043,-0.5600130747791003,-0.4179138362778033,0.6454608189530644,0.04217973889917472,-0.5600130747791003,-0.5600130747791003,0.2448680525530547,0.2448680525530547,0.5129909325924902,0.2448680525530547,-0.5600130747791003,0.5536316194586862,-0.5600130747791003,-0.5069971176144235,0.4759192997635665,-0.5600130747791003,-0.5823186472172944,-0.5600130747791003,-0.5600130747791003,-0.5823186472172944,-0.46801931770151983,0.6448537101266009,-0.4179138362778033,-0.480910211150156,-0.5600130747791003,-0.25595210689850517,-0.4702355220726713,0.2809729127994375,-0.4179138362778033,-0.3976541513794588,-0.3976541513794588,-0.44137211810428684,-0.5600130747791003,-0.5600130747791003,0.6454608189530644,-0.4702355220726713,0.6454608189530644,-0.47677308071774543,-0.2698344041274986,0.6454608189530644,0.12313024709015122,0.2329112128597831,0.25317863313485545,0.2809729127994375,0.13076262931402977,0.2448680525530547,0.6454608189530644,-0.47677308071774543,-0.4179138362778033,0.12313024709015122,0.33553812584970194,0.19007875614316488,-0.47083080242295544,-0.15242116694970925,-0.5823186472172944,-0.4014596938826753,-0.3266682146540317,0.4977936659732235,-0.47083080242295544,-0.5600130747791003,0.07625892728839914,-0.37820630365625346,-0.5600130747791003,-0.5600130747791003,0.3138181285821198,-0.5600130747791003,-0.015330991107116465,-0.5823186472172944,-0.5600130747791003,Group:CA,Case
G14,0.5525282356867118,0.6118873829692788,0.6118873829692788,-0.482799422837873,-0.482799422837873,-0.482799422837873,-0.23212498584047983,-0.482799422837873,-0.43442581152918325,0.6701945744234061,0.1887943000872918,-0.482799422837873,-0.482799422837873,0.437239822941483,0.437239822941483,0.42741602488908,0.437239822941483,-0.482799422837873,0.6555729213473869,-0.482799422837873,-0.19771225896026784,0.5410648193811389,-0.482799422837873,-0.4189833084794886,-0.482799422837873,-0.482799422837873,-0.4189833084794886,-0.30501054475679684,-0.2604446319674705,-0.43442581152918325,-0.40151702756499436,-0.482799422837873,-0.32006597175815504,-0.3216351184918355,0.233069517983367,-0.43442581152918325,0.5543217504592067,0.5543217504592067,-0.2946878794925053,-0.482799422837873,-0.482799422837873,0.6701945744234061,-0.3216351184918355,0.6701945744234061,-0.3513893238300483,0.2704468565702042,0.6701945744234061,-0.18345934068716155,0.34812863193591864,-0.3545999320344752,0.233069517983367,-0.04849548956089023,0.437239822941483,0.6701945744234061,-0.3513893238300483,-0.43442581152918325,-0.18345934068716155,0.12737709438422173,-0.07701605765583504,-0.4196874530909691,-0.05420254302814862,-0.4189833084794886,-0.39997227760845083,-0.21623663741064703,-0.4666941229135939,-0.4196874530909691,-0.482799422837873,-0.4234494670962678,-0.2760523669181334,-0.482799422837873,-0.482799422837873,0.3562550031391911,-0.482799422837873,-0.21191099956427806,-0.4189833084794886,-0.482799422837873,Group:CA,Case
G15,0.029865842141551708,0.3113878075460214,0.3113878075460214,0.5827092591750985,0.5827092591750985,0.5827092591750985,-0.16316368793251892,0.5827092591750985,-0.20514646790220323,-0.048508085764040164,0.33961939290166315,0.5827092591750985,0.5827092591750985,-0.18762405680520639,-0.18762405680520639,-0.20704881858725338,-0.18762405680520639,0.5827092591750985,-0.3799845216323321,0.5827092591750985,-0.5005908747873636,0.5851633582329674,0.5827092591750985,0.5736532234839299,0.5827092591750985,0.5827092591750985,0.5736532234839299,-0.24605787812639277,0.11677921009743575,-0.20514646790220323,-0.141837564140616,0.5827092591750985,-0.20756383074417956,-0.22239826985167066,0.07418543022106501,-0.20514646790220323,0.4333320954801983,0.4333320954801983,-0.30952388112106666,0.5827092591750985,0.5827092591750985,-0.048508085764040164,-0.22239826985167066,-0.048508085764040164,-0.24148817783556464,-0.28447219802787854,-0.048508085764040164,0.5190493474909976,-0.05251284840784793,0.13961820007222964,0.07418543022106501,0.7432615950630247,-0.18762405680520639,-0.048508085764040164,-0.24148817783556464,-0.20514646790220323,0.5190493474909976,0.07698520222326914,-0.4467251838837386,0.2268981476497091,-0.3932576503736529,0.5736532234839299,-0.6071125313506748,-0.5487541080912719,0.6096588383241508,0.2268981476497091,0.5827092591750985,0.4983831580640178,0.39239825662442174,0.5827092591750985,0.5827092591750985,0.029461918825494593,0.5827092591750985,-0.12527969027976923,0.5736532234839299,0.5827092591750985,Group:CA,Case
G16,-0.5022771953011889,-0.06238288220445579,-0.06238288220445579,0.6684424292440088,0.6684424292440088,0.6684424292440088,0.11655318209317309,0.6684424292440088,-0.11821258051582607,-0.2420209160258616,-0.2459817862937426,0.6684424292440088,0.6684424292440088,-0.20397256811136463,-0.20397256811136463,-0.35809948814367915,-0.20397256811136463,0.6684424292440088,-0.016873534679911265,0.6684424292440088,-0.0490425168132959,-0.005833520366590879,0.6684424292440088,0.7486560981507248,0.6684424292440088,0.6684424292440088,0.7486560981507248,-0.1523285824583311,0.02113729011826597,-0.11821258051582607,-0.04875689343904861,0.6684424292440088,-0.11907138317270287,-0.12436633743933335,-0.3238589381347531,-0.11821258051582607,-0.39675336246725607,-0.39675336246725607,-0.21709035842964836,0.6684424292440088,0.6684424292440088,-0.2420209160258616,-0.12436633743933335,-0.2420209160258616,-0.13590057689489415,-0.14594316349060152,-0.2420209160258616,0.563143294868682,-0.20349771856111148,0.43556451195659734,-0.3238589381347531,0.6371832797771573,-0.20397256811136463,-0.2420209160258616,-0.13590057689489415,-0.11821258051582607,0.563143294868682,0.15436259552425544,0.10982847396329606,0.5689217820768331,0.13540731608679984,0.7486560981507248,-0.5639966867951702,-0.19792401925253117,0.05420638110448047,0.5689217820768331,0.6684424292440088,0.6827076934399302,0.49080519414329427,0.6684424292440088,0.6684424292440088,-0.1178803612561653,0.6684424292440088,-0.28002553723137436,0.7486560981507248,0.6684424292440088,Group:CA,Case
G18,0.19938547194889925,-0.16038929927728549,-0.16038929927728549,-0.12353790157889466,-0.12353790157889466,-0.12353790157889466,-0.32273525477720205,-0.12353790157889466,-0.15357109914394926,0.06639789385011964,0.2459914785315992,-0.12353790157889466,-0.12353790157889466,-0.1354668814508986,-0.1354668814508986,0.02869029062373673,-0.1354668814508986,-0.12353790157889466,0.5868720689940887,-0.12353790157889466,-0.3034832991633895,0.3153405881988489,-0.12353790157889466,-0.38070474409645555,-0.12353790157889466,-0.12353790157889466,-0.38070474409645555,-0.2079724639749981,0.3624881242475229,-0.15357109914394926,-0.15645152368231222,-0.12353790157889466,0.03119501727281942,-0.25788067335032167,0.18472585479558534,-0.15357109914394926,0.45703326925268506,0.45703326925268506,-0.173840046710644,-0.12353790157889466,-0.12353790157889466,0.06639789385011964,-0.25788067335032167,0.06639789385011964,-0.23197109871860924,-0.3877170842564798,0.06639789385011964,0.40252503717974575,-0.025867064018242243,-0.2624607990802156,0.18472585479558534,0.39408568276362643,-0.1354668814508986,0.06639789385011964,-0.23197109871860924,-0.15357109914394926,0.40252503717974575,0.2924213929165393,-0.33110247289703715,-0.23026916585100698,-0.2924453777022269,-0.38070474409645555,0.25914201214530863,-0.2594882510941054,0.1955830668337777,-0.23026916585100698,-0.12353790157889466,-0.1533598116222514,-0.07992691894759871,-0.12353790157889466,-0.12353790157889466,-0.03114125552457798,-0.12353790157889466,0.5480639174373723,-0.38070474409645555,-0.12353790157889466,Group:CA,Case
G2,0.457186868033781,-0.35091553580859736,-0.35091553580859736,-0.5385163091469594,-0.5385163091469594,-0.5385163091469594,-0.08440138883449601,-0.5385163091469594,-0.42322651450437165,0.48651733332471336,-0.18812652716719006,-0.5385163091469594,-0.5385163091469594,-0.18055173853346737,-0.18055173853346737,0.2888697362176774,-0.18055173853346737,-0.5385163091469594,-0.12310588095858854,-0.5385163091469594,-0.2054403932590098,0.25979566110825664,-0.5385163091469594,-0.5669469591048997,-0.5385163091469594,-0.5385163091469594,-0.5669469591048997,-0.30336093487555377,0.41321279316180864,-0.42322651450437165,-0.39874353813640495,-0.5385163091469594,-0.3598973669252471,-0.3027110102857534,-0.14376655586452675,-0.42322651450437165,0.15656394435752313,0.15656394435752313,-0.3054924479495028,-0.5385163091469594,-0.5385163091469594,0.48651733332471336,-0.3027110102857534,0.48651733332471336,-0.315810710519635,0.07208347766918116,0.48651733332471336,0.45403732087797904,-0.1978609336874121,-0.48720299429774677,-0.14376655586452675,0.5860254732150193,-0.18055173853346737,0.48651733332471336,-0.315810710519635,-0.42322651450437165,0.45403732087797904,-0.3790913338786493,0.2774186737576937,-0.5018644631101248,0.2770375408150405,-0.5669469591048997,-0.5984434999320486,-0.28051485072820626,-0.30592872716829855,-0.5018644631101248,-0.5385163091469594,-0.5104504986931611,-0.4485938067790403,-0.5385163091469594,-0.5385163091469594,0.40345992018971877,-0.5385163091469594,-0.4059761451333228,-0.5669469591048997,-0.5385163091469594,Group:CA,Case
G21,0.3424085283479913,0.19333111253262672,0.19333111253262672,-0.5937581871099222,-0.5937581871099222,-0.5937581871099222,0.01715086002797237,-0.5937581871099222,-0.1253630834017943,-0.22583629405180822,-0.2188210781153881,-0.5937581871099222,-0.5937581871099222,0.25335138341670765,0.25335138341670765,0.3800479091830982,0.25335138341670765,-0.5937581871099222,0.06582835568106413,-0.5937581871099222,0.30031014072435064,-0.27557660047816507,-0.5937581871099222,-0.46447203672452597,-0.5937581871099222,-0.5937581871099222,-0.46447203672452597,-0.2374502564518668,-0.41341014500637213,-0.1253630834017943,-0.13425962833422378,-0.5937581871099222,-0.5032310983664992,-0.22237433319598934,-0.19870422234656115,-0.1253630834017943,-0.2509849008784713,-0.2509849008784713,-0.24025360013244892,-0.5937581871099222,-0.5937581871099222,-0.22583629405180822,-0.22237433319598934,-0.22583629405180822,-0.23168918655315418,0.30524203997444826,-0.22583629405180822,-0.351545723906582,0.07731834407567181,-0.49089786304563005,-0.19870422234656115,-0.26086111913245247,0.25335138341670765,-0.22583629405180822,-0.23168918655315418,-0.1253630834017943,-0.351545723906582,-0.45729390680226023,0.4895450002921224,-0.47725771036821946,0.4906866307766369,-0.46447203672452597,0.6079128573252471,0.14144595409359445,-0.484139837144251,-0.47725771036821946,-0.5937581871099222,-0.5593329999953723,-0.515750996157069,-0.5937581871099222,-0.5937581871099222,0.4837260441277104,-0.5937581871099222,-0.5546401711254082,-0.46447203672452597,-0.5937581871099222,Group:CA,Case
G3,0.07491840418739958,-0.4505737240871372,-0.4505737240871372,-0.20643416161615535,-0.20643416161615535,-0.20643416161615535,0.13370529844306822,-0.20643416161615535,-0.11836669171712516,-0.3312176597168834,-0.16829795472777806,-0.20643416161615535,-0.20643416161615535,0.2202441027800908,0.2202441027800908,0.3370894921374917,0.2202441027800908,-0.20643416161615535,0.24531614786651232,-0.20643416161615535,0.19579497655660383,-0.26480989034716873,-0.20643416161615535,-0.376124190213175,-0.20643416161615535,-0.20643416161615535,-0.376124190213175,-0.23855611107296829,0.6027540816830984,-0.11836669171712516,-0.28239682588538906,-0.20643416161615535,-0.37326818356652425,-0.21493754606121454,-0.2346063135713516,-0.11836669171712516,-0.35311390481694693,-0.35311390481694693,-0.28069574320148133,-0.20643416161615535,-0.20643416161615535,-0.3312176597168834,-0.21493754606121454,-0.3312176597168834,-0.2369510896234766,-0.02940423833587673,-0.3312176597168834,-0.10541826108643587,0.06764001065573821,-0.3510026192026637,-0.2346063135713516,-0.07984692575230203,0.2202441027800908,-0.3312176597168834,-0.2369510896234766,-0.11836669171712516,-0.10541826108643587,-0.37212140694959706,0.5522959367958121,-0.2611211539373336,0.5580072492305537,-0.376124190213175,-0.40892511804081705,0.09331356594684671,-0.14662236549244137,-0.2611211539373336,-0.20643416161615535,-0.23179098203586346,-0.33219679098365623,-0.20643416161615535,-0.20643416161615535,0.29538610961752015,-0.20643416161615535,-0.20323993743710259,-0.376124190213175,-0.20643416161615535,Group:CA,Case
G30,-0.3379138097197878,-0.2983811880250693,-0.2983811880250693,0.46781279007512794,0.46781279007512794,0.46781279007512794,-0.19435837390289395,0.46781279007512794,0.3916400153361599,-0.21098785225265895,0.19435825472279492,0.46781279007512794,0.46781279007512794,-0.0824161180525179,-0.0824161180525179,-0.17492674745081532,-0.0824161180525179,0.46781279007512794,-0.5114362058493849,0.46781279007512794,-0.0844576210362159,0.1198487553297597,0.46781279007512794,0.42506428927256423,0.46781279007512794,0.46781279007512794,0.42506428927256423,0.5371734123110556,0.18297825738781864,0.3916400153361599,0.3814360651489012,0.46781279007512794,0.025318074906812288,0.5188612208034564,0.16857061773962675,0.3916400153361599,0.31718801908033717,0.31718801908033717,0.5205799323172039,0.46781279007512794,0.46781279007512794,-0.21098785225265895,0.5188612208034564,-0.21098785225265895,0.48877302683866,-0.16807922531196115,-0.21098785225265895,-0.14224488322716258,0.025485143735849383,0.5963620924442685,0.16857061773962675,0.19174393969343942,-0.0824161180525179,-0.21098785225265895,0.48877302683866,0.3916400153361599,-0.14224488322716258,0.4148086784030491,-0.24592017749318684,0.5061009117353616,-0.2887027601017687,0.42506428927256423,0.6389293685345525,-0.08834620536785506,0.06788266312028626,0.5061009117353616,0.46781279007512794,0.5511839556473226,0.39456224307729204,0.46781279007512794,0.46781279007512794,-0.13972557382365502,0.46781279007512794,0.5985435675180382,0.42506428927256423,0.46781279007512794,Group:CA,Case
